series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,51.152,99112.473,38.589
dens_x0.5,10000,761,2,50.359,99112.473,38.589
dens_x0.5,10000,761,3,50.185,99112.473,38.589
dens_x0.5,12000,1077,1,61.595,122827.840,47.823
dens_x0.5,12000,1077,2,61.517,122827.840,47.823
dens_x0.5,12000,1077,3,60.927,122827.840,47.823
dens_x0.5,14000,1455,1,69.076,147545.989,57.447
dens_x0.5,14000,1455,2,80.602,147545.989,57.447
dens_x0.5,14000,1455,3,69.987,147545.989,57.447
dens_x0.5,16000,1937,1,80.775,173636.330,67.605
dens_x0.5,16000,1937,2,81.025,173636.330,67.605
dens_x0.5,16000,1937,3,87.149,173636.330,67.605
dens_x0.5,19000,2715,1,97.314,213940.398,83.297
dens_x0.5,19000,2715,2,96.800,213940.398,83.297
dens_x0.5,19000,2715,3,99.001,213940.398,83.297
dens_x0.5,22000,3611,1,114.149,256079.209,99.704
dens_x0.5,22000,3611,2,107.349,256079.209,99.704
dens_x0.5,22000,3611,3,128.944,256079.209,99.704
dens_x0.5,26000,5194,1,169.081,317113.582,123.468
dens_x0.5,26000,5194,2,124.848,317113.582,123.468
dens_x0.5,26000,5194,3,126.180,317113.582,123.468
dens_x0.5,30000,6763,1,137.270,378988.027,147.558
dens_x0.5,30000,6763,2,174.605,378988.027,147.558
dens_x0.5,30000,6763,3,347.805,378988.027,147.558
dens_x0.5,36000,9660,1,170.769,479031.581,186.510
dens_x0.5,36000,9660,2,167.815,479031.581,186.510
dens_x0.5,36000,9660,3,157.285,479031.581,186.510
dens_x0.5,42000,13346,1,208.810,589181.686,229.397
dens_x0.5,42000,13346,2,191.181,589181.686,229.397
dens_x0.5,42000,13346,3,188.304,589181.686,229.397
dens_x0.5,49000,17900,1,274.029,722491.606,281.301
dens_x0.5,49000,17900,2,262.442,722491.606,281.301
dens_x0.5,49000,17900,3,268.845,722491.606,281.301
dens_x0.5,57000,24363,1,312.798,890990.473,346.906
dens_x0.5,57000,24363,2,301.761,890990.473,346.906
dens_x0.5,57000,24363,3,327.824,890990.473,346.906
dens_x0.5,67000,33829,1,424.048,1120457.009,436.248
dens_x0.5,67000,33829,2,375.659,1120457.009,436.248
dens_x0.5,67000,33829,3,375.023,1120457.009,436.248
dens_x0.5,79000,46917,1,447.988,1419991.587,552.871
dens_x0.5,79000,46917,2,543.833,1419991.587,552.871
dens_x0.5,79000,46917,3,490.562,1419991.587,552.871
dens_x0.5,92000,63864,1,605.730,1781454.424,693.606
dens_x0.5,92000,63864,2,597.292,1781454.424,693.606
dens_x0.5,92000,63864,3,650.577,1781454.424,693.606
dens_x0.5,108000,87350,1,608.491,2264084.329,881.518
dens_x0.5,108000,87350,2,568.816,2264084.329,881.518
dens_x0.5,108000,87350,3,605.038,2264084.329,881.518
dens_x0.5,127000,120912,1,701.876,2913447.536,1134.346
dens_x0.5,127000,120912,2,719.486,2913447.536,1134.346
dens_x0.5,127000,120912,3,717.672,2913447.536,1134.346
dens_x0.5,149000,166365,1,875.466,3756533.770,1462.600
dens_x0.5,149000,166365,2,841.735,3756533.770,1462.600
dens_x0.5,149000,166365,3,986.523,3756533.770,1462.600
dens_x0.5,174000,226551,1,1247.354,4833373.044,1881.866
dens_x0.5,174000,226551,2,1151.140,4833373.044,1881.866
dens_x0.5,174000,226551,3,1234.685,4833373.044,1881.866
dens_x0.5,204000,312325,1,1410.429,6312525.050,2457.772
dens_x0.5,204000,312325,2,1327.941,6312525.050,2457.772
dens_x0.5,204000,312325,3,1383.628,6312525.050,2457.772
dens_x0.5,240000,431142,1,1747.568,8314371.662,3237.187
dens_x0.5,240000,431142,2,1674.865,8314371.662,3237.187
dens_x0.5,240000,431142,3,1688.159,8314371.662,3237.187
dens_x0.5,281000,589828,1,2166.406,10925503.834,4253.828
dens_x0.5,281000,589828,2,3446.245,10925503.834,4253.828
dens_x0.5,281000,589828,3,2455.903,10925503.834,4253.828
dens_x0.5,329000,811844,1,3235.985,14493068.872,5642.853
dens_x0.5,329000,811844,2,3914.621,14493068.872,5642.853
dens_x0.5,329000,811844,3,3149.491,14493068.872,5642.853
dens_x0.5,386000,1115568,1,4208.325,19315559.086,7520.482
dens_x0.5,386000,1115568,2,4153.722,19315559.086,7520.482
dens_x0.5,386000,1115568,3,4030.253,19315559.086,7520.482
dens_x0.5,452000,1531464,1,5754.485,25827552.428,10055.916
