series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,38.276,99112.473,18.938
dens_x0.5,10000,761,2,44.437,99112.473,18.938
dens_x0.5,10000,761,3,47.050,99112.473,18.938
dens_x0.5,12000,1077,1,61.835,122827.840,23.469
dens_x0.5,12000,1077,2,56.548,122827.840,23.469
dens_x0.5,12000,1077,3,57.742,122827.840,23.469
dens_x0.5,14000,1455,1,56.974,147545.989,28.192
dens_x0.5,14000,1455,2,72.837,147545.989,28.192
dens_x0.5,14000,1455,3,53.347,147545.989,28.192
dens_x0.5,16000,1937,1,78.537,173636.330,33.178
dens_x0.5,16000,1937,2,85.969,173636.330,33.178
dens_x0.5,16000,1937,3,86.131,173636.330,33.178
dens_x0.5,19000,2715,1,98.627,213940.398,40.879
dens_x0.5,19000,2715,2,116.253,213940.398,40.879
dens_x0.5,19000,2715,3,108.861,213940.398,40.879
dens_x0.5,22000,3611,1,130.744,256079.209,48.930
dens_x0.5,22000,3611,2,89.643,256079.209,48.930
dens_x0.5,22000,3611,3,131.201,256079.209,48.930
dens_x0.5,26000,5194,1,120.353,317113.582,60.593
dens_x0.5,26000,5194,2,145.893,317113.582,60.593
dens_x0.5,26000,5194,3,144.641,317113.582,60.593
dens_x0.5,30000,6763,1,193.243,378988.027,72.415
dens_x0.5,30000,6763,2,138.053,378988.027,72.415
dens_x0.5,30000,6763,3,159.792,378988.027,72.415
dens_x0.5,36000,9660,1,188.103,479031.581,91.531
dens_x0.5,36000,9660,2,181.788,479031.581,91.531
dens_x0.5,36000,9660,3,183.152,479031.581,91.531
dens_x0.5,42000,13346,1,151.805,589181.686,112.578
dens_x0.5,42000,13346,2,237.285,589181.686,112.578
dens_x0.5,42000,13346,3,241.080,589181.686,112.578
dens_x0.5,49000,17900,1,225.210,722491.606,138.051
dens_x0.5,49000,17900,2,256.325,722491.606,138.051
dens_x0.5,49000,17900,3,254.573,722491.606,138.051
dens_x0.5,57000,24363,1,205.892,890990.473,170.247
dens_x0.5,57000,24363,2,218.569,890990.473,170.247
dens_x0.5,57000,24363,3,193.055,890990.473,170.247
dens_x0.5,67000,33829,1,312.891,1120457.009,214.092
dens_x0.5,67000,33829,2,332.210,1120457.009,214.092
dens_x0.5,67000,33829,3,246.322,1120457.009,214.092
dens_x0.5,79000,46917,1,302.178,1419991.587,271.326
dens_x0.5,79000,46917,2,362.654,1419991.587,271.326
dens_x0.5,79000,46917,3,388.967,1419991.587,271.326
dens_x0.5,92000,63864,1,405.253,1781454.424,340.392
dens_x0.5,92000,63864,2,428.211,1781454.424,340.392
dens_x0.5,92000,63864,3,424.595,1781454.424,340.392
dens_x0.5,108000,87350,1,531.480,2264084.329,432.611
dens_x0.5,108000,87350,2,456.242,2264084.329,432.611
dens_x0.5,108000,87350,3,480.178,2264084.329,432.611
dens_x0.5,127000,120912,1,584.835,2913447.536,556.689
dens_x0.5,127000,120912,2,574.881,2913447.536,556.689
dens_x0.5,127000,120912,3,591.637,2913447.536,556.689
dens_x0.5,149000,166365,1,770.336,3756533.770,717.782
dens_x0.5,149000,166365,2,749.424,3756533.770,717.782
dens_x0.5,149000,166365,3,758.684,3756533.770,717.782
dens_x0.5,174000,226551,1,977.870,4833373.044,923.540
dens_x0.5,174000,226551,2,911.794,4833373.044,923.540
dens_x0.5,174000,226551,3,1973.549,4833373.044,923.540
dens_x0.5,204000,312325,1,1322.555,6312525.050,1206.169
dens_x0.5,204000,312325,2,1448.643,6312525.050,1206.169
dens_x0.5,204000,312325,3,1015.363,6312525.050,1206.169
dens_x0.5,240000,431142,1,1260.775,8314371.662,1588.673
dens_x0.5,240000,431142,2,1571.054,8314371.662,1588.673
dens_x0.5,240000,431142,3,2325.376,8314371.662,1588.673
dens_x0.5,281000,589828,1,1716.171,10925503.834,2087.597
dens_x0.5,281000,589828,2,1772.932,10925503.834,2087.597
dens_x0.5,281000,589828,3,1770.317,10925503.834,2087.597
dens_x0.5,329000,811844,1,2497.336,14493068.872,2769.272
dens_x0.5,329000,811844,2,3011.600,14493068.872,2769.272
dens_x0.5,329000,811844,3,2262.160,14493068.872,2769.272
dens_x0.5,386000,1115568,1,3122.086,19315559.086,3690.732
dens_x0.5,386000,1115568,2,3034.498,19315559.086,3690.732
dens_x0.5,386000,1115568,3,3167.076,19315559.086,3690.732
dens_x0.5,452000,1531464,1,4496.003,25827552.428,4935.015
dens_x0.5,452000,1531464,2,4372.080,25827552.428,4935.015
dens_x0.5,452000,1531464,3,4231.171,25827552.428,4935.015
dens_x0.5,530000,2103874,1,6131.828,34716124.680,6633.404
dens_x0.5,530000,2103874,2,6007.724,34716124.680,6633.404
dens_x0.5,530000,2103874,3,5781.477,34716124.680,6633.404
dens_x0.5,621000,2887681,1,7942.139,46802598.872,8942.834
dens_x0.5,621000,2887681,2,7923.217,46802598.872,8942.834
dens_x0.5,621000,2887681,3,7941.885,46802598.872,8942.834
dens_x0.5,728000,3971764,1,11260.380,63437679.196,12121.392
dens_x0.5,728000,3971764,2,11239.027,63437679.196,12121.392
dens_x0.5,728000,3971764,3,10927.841,63437679.196,12121.392
dens_x0.5,853000,5448500,1,15269.468,86056528.179,16443.301
dens_x0.5,853000,5448500,2,15545.416,86056528.179,16443.301
dens_x0.5,853000,5448500,3,15453.498,86056528.179,16443.301
dens_x0.5,1000000,7489974,1,21313.952,117293325.434,22411.891
dens_x0.5,1000000,7489974,2,21260.455,117293325.434,22411.891
dens_x0.5,1000000,7489974,3,21363.975,117293325.434,22411.891
dens_x1.0,10000,1550,1,61.324,106379.431,20.327
dens_x1.0,10000,1550,2,42.309,106379.431,20.327
dens_x1.0,10000,1550,3,43.722,106379.431,20.327
dens_x1.0,12000,2135,1,59.932,132765.276,25.368
dens_x1.0,12000,2135,2,58.811,132765.276,25.368
dens_x1.0,12000,2135,3,59.965,132765.276,25.368
dens_x1.0,14000,2963,1,67.045,161942.582,30.943
dens_x1.0,14000,2963,2,64.095,161942.582,30.943
dens_x1.0,14000,2963,3,98.423,161942.582,30.943
dens_x1.0,16000,3912,1,67.059,192755.010,36.831
dens_x1.0,16000,3912,2,73.193,192755.010,36.831
dens_x1.0,16000,3912,3,78.115,192755.010,36.831
dens_x1.0,19000,5413,1,86.648,240521.618,45.958
dens_x1.0,19000,5413,2,129.568,240521.618,45.958
dens_x1.0,19000,5413,3,78.989,240521.618,45.958
dens_x1.0,22000,7290,1,111.022,292864.786,55.959
dens_x1.0,22000,7290,2,133.328,292864.786,55.959
dens_x1.0,22000,7290,3,99.040,292864.786,55.959
dens_x1.0,26000,10078,1,152.963,366763.602,70.080
dens_x1.0,26000,10078,2,122.924,366763.602,70.080
dens_x1.0,26000,10078,3,138.414,366763.602,70.080
dens_x1.0,30000,13336,1,129.110,446748.773,85.363
dens_x1.0,30000,13336,2,186.901,446748.773,85.363
dens_x1.0,30000,13336,3,145.582,446748.773,85.363
dens_x1.0,36000,19373,1,157.848,580933.327,111.002
dens_x1.0,36000,19373,2,214.319,580933.327,111.002
dens_x1.0,36000,19373,3,144.951,580933.327,111.002
dens_x1.0,42000,26057,1,274.180,724495.682,138.433
dens_x1.0,42000,26057,2,190.711,724495.682,138.433
dens_x1.0,42000,26057,3,282.941,724495.682,138.433
dens_x1.0,49000,35903,1,223.180,916916.365,175.200
dens_x1.0,49000,35903,2,323.990,916916.365,175.200
dens_x1.0,49000,35903,3,227.125,916916.365,175.200
dens_x1.0,57000,48648,1,317.633,1156930.810,221.061
dens_x1.0,57000,48648,2,269.861,1156930.810,221.061
dens_x1.0,57000,48648,3,301.058,1156930.810,221.061
dens_x1.0,67000,67188,1,372.238,1491157.159,284.924
dens_x1.0,67000,67188,2,310.594,1491157.159,284.924
dens_x1.0,67000,67188,3,327.349,1491157.159,284.924
dens_x1.0,79000,93552,1,399.597,1945903.955,371.815
dens_x1.0,79000,93552,2,399.330,1945903.955,371.815
dens_x1.0,79000,93552,3,378.416,1945903.955,371.815
dens_x1.0,92000,126776,1,436.287,2500509.887,477.786
dens_x1.0,92000,126776,2,458.982,2500509.887,477.786
dens_x1.0,92000,126776,3,455.902,2500509.887,477.786
dens_x1.0,108000,175020,1,552.531,3280169.679,626.760
dens_x1.0,108000,175020,2,541.982,3280169.679,626.760
dens_x1.0,108000,175020,3,541.280,3280169.679,626.760
dens_x1.0,127000,241838,1,737.481,4334562.918,828.229
dens_x1.0,127000,241838,2,728.767,4334562.918,828.229
dens_x1.0,127000,241838,3,720.321,4334562.918,828.229
