series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,35.961,99112.473,62.983
dens_x0.5,10000,761,2,34.394,99112.473,62.983
dens_x0.5,10000,761,3,50.859,99112.473,62.983
dens_x0.5,12000,1077,1,45.321,122827.840,78.053
dens_x0.5,12000,1077,2,62.352,122827.840,78.053
dens_x0.5,12000,1077,3,47.778,122827.840,78.053
dens_x0.5,14000,1455,1,73.521,147545.989,93.761
dens_x0.5,14000,1455,2,62.999,147545.989,93.761
dens_x0.5,14000,1455,3,60.800,147545.989,93.761
dens_x0.5,16000,1937,1,87.146,173636.330,110.340
dens_x0.5,16000,1937,2,67.794,173636.330,110.340
dens_x0.5,16000,1937,3,164.459,173636.330,110.340
dens_x0.5,19000,2715,1,145.995,213940.398,135.952
dens_x0.5,19000,2715,2,175.168,213940.398,135.952
dens_x0.5,19000,2715,3,116.191,213940.398,135.952
dens_x0.5,22000,3611,1,99.170,256079.209,162.730
dens_x0.5,22000,3611,2,92.240,256079.209,162.730
dens_x0.5,22000,3611,3,92.266,256079.209,162.730
dens_x0.5,26000,5194,1,111.996,317113.582,201.515
dens_x0.5,26000,5194,2,99.461,317113.582,201.515
dens_x0.5,26000,5194,3,110.166,317113.582,201.515
dens_x0.5,30000,6763,1,183.794,378988.027,240.834
dens_x0.5,30000,6763,2,181.493,378988.027,240.834
dens_x0.5,30000,6763,3,186.844,378988.027,240.834
dens_x0.5,36000,9660,1,182.254,479031.581,304.409
dens_x0.5,36000,9660,2,200.999,479031.581,304.409
dens_x0.5,36000,9660,3,143.599,479031.581,304.409
dens_x0.5,42000,13346,1,179.495,589181.686,374.405
dens_x0.5,42000,13346,2,181.815,589181.686,374.405
dens_x0.5,42000,13346,3,165.094,589181.686,374.405
dens_x0.5,49000,17900,1,284.586,722491.606,459.120
dens_x0.5,49000,17900,2,233.091,722491.606,459.120
dens_x0.5,49000,17900,3,208.590,722491.606,459.120
dens_x0.5,57000,24363,1,309.408,890990.473,566.195
dens_x0.5,57000,24363,2,261.349,890990.473,566.195
dens_x0.5,57000,24363,3,265.088,890990.473,566.195
dens_x0.5,67000,33829,1,335.052,1120457.009,712.013
dens_x0.5,67000,33829,2,449.145,1120457.009,712.013
dens_x0.5,67000,33829,3,410.054,1120457.009,712.013
dens_x0.5,79000,46917,1,511.215,1419991.587,902.358
dens_x0.5,79000,46917,2,531.563,1419991.587,902.358
dens_x0.5,79000,46917,3,437.912,1419991.587,902.358
dens_x0.5,92000,63864,1,600.704,1781454.424,1132.055
dens_x0.5,92000,63864,2,666.763,1781454.424,1132.055
dens_x0.5,92000,63864,3,602.090,1781454.424,1132.055
dens_x0.5,108000,87350,1,767.170,2264084.329,1438.751
dens_x0.5,108000,87350,2,736.665,2264084.329,1438.751
dens_x0.5,108000,87350,3,674.970,2264084.329,1438.751
dens_x0.5,127000,120912,1,913.971,2913447.536,1851.400
dens_x0.5,127000,120912,2,814.923,2913447.536,1851.400
dens_x0.5,127000,120912,3,740.522,2913447.536,1851.400
dens_x0.5,149000,166365,1,967.782,3756533.770,2387.153
dens_x0.5,149000,166365,2,1230.397,3756533.770,2387.153
dens_x0.5,149000,166365,3,1109.607,3756533.770,2387.153
dens_x0.5,174000,226551,1,1557.154,4833373.044,3071.449
dens_x0.5,174000,226551,2,1316.292,4833373.044,3071.449
dens_x0.5,174000,226551,3,1317.413,4833373.044,3071.449
dens_x0.5,204000,312325,1,1605.837,6312525.050,4011.401
dens_x0.5,204000,312325,2,1914.829,6312525.050,4011.401
dens_x0.5,204000,312325,3,1488.417,6312525.050,4011.401
dens_x0.5,240000,431142,1,1820.898,8314371.662,5283.508
dens_x0.5,240000,431142,2,1964.801,8314371.662,5283.508
dens_x0.5,240000,431142,3,2009.085,8314371.662,5283.508
dens_x0.5,281000,589828,1,2600.835,10925503.834,6942.796
