series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,15.688,99112.473,21.422
dens_x0.5,10000,761,2,15.767,99112.473,21.422
dens_x0.5,10000,761,3,15.154,99112.473,21.422
dens_x0.5,12000,1077,1,20.751,122827.840,26.548
dens_x0.5,12000,1077,2,20.008,122827.840,26.548
dens_x0.5,12000,1077,3,18.613,122827.840,26.548
dens_x0.5,14000,1455,1,22.026,147545.989,31.890
dens_x0.5,14000,1455,2,21.376,147545.989,31.890
dens_x0.5,14000,1455,3,22.028,147545.989,31.890
dens_x0.5,16000,1937,1,26.161,173636.330,37.529
dens_x0.5,16000,1937,2,27.869,173636.330,37.529
dens_x0.5,16000,1937,3,28.148,173636.330,37.529
dens_x0.5,19000,2715,1,39.460,213940.398,46.241
dens_x0.5,19000,2715,2,39.874,213940.398,46.241
dens_x0.5,19000,2715,3,37.501,213940.398,46.241
dens_x0.5,22000,3611,1,45.224,256079.209,55.348
dens_x0.5,22000,3611,2,44.134,256079.209,55.348
dens_x0.5,22000,3611,3,44.888,256079.209,55.348
dens_x0.5,26000,5194,1,56.877,317113.582,68.540
dens_x0.5,26000,5194,2,56.417,317113.582,68.540
dens_x0.5,26000,5194,3,50.854,317113.582,68.540
dens_x0.5,30000,6763,1,55.551,378988.027,81.914
dens_x0.5,30000,6763,2,56.281,378988.027,81.914
dens_x0.5,30000,6763,3,61.705,378988.027,81.914
dens_x0.5,36000,9660,1,58.902,479031.581,103.537
dens_x0.5,36000,9660,2,59.343,479031.581,103.537
dens_x0.5,36000,9660,3,56.766,479031.581,103.537
dens_x0.5,42000,13346,1,71.784,589181.686,127.344
dens_x0.5,42000,13346,2,70.883,589181.686,127.344
dens_x0.5,42000,13346,3,67.382,589181.686,127.344
dens_x0.5,49000,17900,1,77.784,722491.606,156.158
dens_x0.5,49000,17900,2,98.588,722491.606,156.158
dens_x0.5,49000,17900,3,78.477,722491.606,156.158
dens_x0.5,57000,24363,1,100.125,890990.473,192.577
dens_x0.5,57000,24363,2,98.099,890990.473,192.577
dens_x0.5,57000,24363,3,95.559,890990.473,192.577
dens_x0.5,67000,33829,1,120.753,1120457.009,242.173
dens_x0.5,67000,33829,2,157.183,1120457.009,242.173
dens_x0.5,67000,33829,3,119.986,1120457.009,242.173
dens_x0.5,79000,46917,1,158.279,1419991.587,306.914
dens_x0.5,79000,46917,2,160.867,1419991.587,306.914
dens_x0.5,79000,46917,3,188.158,1419991.587,306.914
dens_x0.5,92000,63864,1,217.457,1781454.424,385.039
dens_x0.5,92000,63864,2,201.234,1781454.424,385.039
dens_x0.5,92000,63864,3,202.297,1781454.424,385.039
dens_x0.5,108000,87350,1,280.966,2264084.329,489.354
dens_x0.5,108000,87350,2,249.816,2264084.329,489.354
dens_x0.5,108000,87350,3,300.323,2264084.329,489.354
dens_x0.5,127000,120912,1,303.758,2913447.536,629.706
dens_x0.5,127000,120912,2,353.401,2913447.536,629.706
dens_x0.5,127000,120912,3,611.729,2913447.536,629.706
dens_x0.5,149000,166365,1,520.963,3756533.770,811.928
dens_x0.5,149000,166365,2,567.283,3756533.770,811.928
dens_x0.5,149000,166365,3,464.261,3756533.770,811.928
dens_x0.5,174000,226551,1,579.208,4833373.044,1044.674
dens_x0.5,174000,226551,2,645.586,4833373.044,1044.674
dens_x0.5,174000,226551,3,566.923,4833373.044,1044.674
dens_x0.5,204000,312325,1,908.258,6312525.050,1364.374
dens_x0.5,204000,312325,2,597.708,6312525.050,1364.374
dens_x0.5,204000,312325,3,614.792,6312525.050,1364.374
dens_x0.5,240000,431142,1,830.654,8314371.662,1797.049
dens_x0.5,240000,431142,2,747.721,8314371.662,1797.049
dens_x0.5,240000,431142,3,793.694,8314371.662,1797.049
dens_x0.5,281000,589828,1,1009.589,10925503.834,2361.413
dens_x0.5,281000,589828,2,999.220,10925503.834,2361.413
dens_x0.5,281000,589828,3,968.745,10925503.834,2361.413
dens_x0.5,329000,811844,1,1346.701,14493068.872,3132.498
dens_x0.5,329000,811844,2,1300.301,14493068.872,3132.498
dens_x0.5,329000,811844,3,1336.633,14493068.872,3132.498
dens_x0.5,386000,1115568,1,1930.593,19315559.086,4174.819
dens_x0.5,386000,1115568,2,1943.367,19315559.086,4174.819
dens_x0.5,386000,1115568,3,1826.516,19315559.086,4174.819
dens_x0.5,452000,1531464,1,2626.389,25827552.428,5582.306
dens_x0.5,452000,1531464,2,2527.856,25827552.428,5582.306
dens_x0.5,452000,1531464,3,2552.325,25827552.428,5582.306
dens_x0.5,530000,2103874,1,3927.716,34716124.680,7503.461
dens_x0.5,530000,2103874,2,3968.094,34716124.680,7503.461
dens_x0.5,530000,2103874,3,3782.988,34716124.680,7503.461
dens_x0.5,621000,2887681,1,5852.172,46802598.872,10115.803
dens_x0.5,621000,2887681,2,5655.723,46802598.872,10115.803
dens_x0.5,621000,2887681,3,5788.834,46802598.872,10115.803
dens_x0.5,728000,3971764,1,8425.377,63437679.196,13711.270
dens_x0.5,728000,3971764,2,8226.609,63437679.196,13711.270
dens_x0.5,728000,3971764,3,8583.745,63437679.196,13711.270
dens_x0.5,853000,5448500,1,12175.891,86056528.179,18600.055
dens_x0.5,853000,5448500,2,15218.073,86056528.179,18600.055
dens_x0.5,853000,5448500,3,11273.111,86056528.179,18600.055
dens_x0.5,1000000,7489974,1,22260.390,117293325.434,25351.503
dens_x0.5,1000000,7489974,2,21735.102,117293325.434,25351.503
dens_x0.5,1000000,7489974,3,16119.248,117293325.434,25351.503
dens_x0.5,1300000,12655006,1,36062.526,196456827.614,73316.712
dens_x0.5,1300000,12655006,2,37491.996,196456827.614,73316.712
dens_x0.5,1300000,12655006,3,40901.895,196456827.614,73316.712
dens_x0.5,1500000,16856907,1,55060.072,261053127.751,97423.730
dens_x0.5,1500000,16856907,2,51489.209,261053127.751,97423.730
dens_x0.5,1500000,16856907,3,51762.161,261053127.751,97423.730
dens_x1.0,10000,1550,1,20.015,106379.431,22.993
dens_x1.0,10000,1550,2,16.967,106379.431,22.993
dens_x1.0,10000,1550,3,33.054,106379.431,22.993
dens_x1.0,12000,2135,1,40.238,132765.276,28.696
dens_x1.0,12000,2135,2,22.697,132765.276,28.696
dens_x1.0,12000,2135,3,23.725,132765.276,28.696
dens_x1.0,14000,2963,1,35.596,161942.582,35.002
dens_x1.0,14000,2963,2,28.078,161942.582,35.002
dens_x1.0,14000,2963,3,33.954,161942.582,35.002
dens_x1.0,16000,3912,1,44.754,192755.010,41.662
dens_x1.0,16000,3912,2,46.279,192755.010,41.662
