series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,13.928,99112.473,32.641
dens_x0.5,10000,761,2,14.427,99112.473,32.641
dens_x0.5,10000,761,3,14.068,99112.473,32.641
dens_x0.5,12000,1077,1,24.819,122827.840,40.451
dens_x0.5,12000,1077,2,18.116,122827.840,40.451
dens_x0.5,12000,1077,3,17.827,122827.840,40.451
dens_x0.5,14000,1455,1,22.211,147545.989,48.592
dens_x0.5,14000,1455,2,22.745,147545.989,48.592
dens_x0.5,14000,1455,3,21.998,147545.989,48.592
dens_x0.5,16000,1937,1,25.174,173636.330,57.184
dens_x0.5,16000,1937,2,24.886,173636.330,57.184
dens_x0.5,16000,1937,3,25.206,173636.330,57.184
dens_x0.5,19000,2715,1,30.350,213940.398,70.458
dens_x0.5,19000,2715,2,27.632,213940.398,70.458
dens_x0.5,19000,2715,3,30.365,213940.398,70.458
dens_x0.5,22000,3611,1,37.591,256079.209,84.335
dens_x0.5,22000,3611,2,39.308,256079.209,84.335
dens_x0.5,22000,3611,3,37.304,256079.209,84.335
dens_x0.5,26000,5194,1,49.215,317113.582,104.436
dens_x0.5,26000,5194,2,45.546,317113.582,104.436
dens_x0.5,26000,5194,3,46.041,317113.582,104.436
dens_x0.5,30000,6763,1,43.645,378988.027,124.813
dens_x0.5,30000,6763,2,45.099,378988.027,124.813
dens_x0.5,30000,6763,3,45.535,378988.027,124.813
dens_x0.5,36000,9660,1,47.761,479031.581,157.761
dens_x0.5,36000,9660,2,67.519,479031.581,157.761
dens_x0.5,36000,9660,3,48.563,479031.581,157.761
dens_x0.5,42000,13346,1,50.651,589181.686,194.037
dens_x0.5,42000,13346,2,67.829,589181.686,194.037
dens_x0.5,42000,13346,3,58.132,589181.686,194.037
dens_x0.5,49000,17900,1,71.334,722491.606,237.940
dens_x0.5,49000,17900,2,81.959,722491.606,237.940
dens_x0.5,49000,17900,3,175.205,722491.606,237.940
dens_x0.5,57000,24363,1,100.968,890990.473,293.433
dens_x0.5,57000,24363,2,102.184,890990.473,293.433
dens_x0.5,57000,24363,3,101.227,890990.473,293.433
dens_x0.5,67000,33829,1,119.900,1120457.009,369.004
dens_x0.5,67000,33829,2,131.959,1120457.009,369.004
dens_x0.5,67000,33829,3,133.951,1120457.009,369.004
dens_x0.5,79000,46917,1,165.619,1419991.587,467.650
dens_x0.5,79000,46917,2,165.403,1419991.587,467.650
dens_x0.5,79000,46917,3,161.530,1419991.587,467.650
dens_x0.5,92000,63864,1,200.791,1781454.424,586.692
dens_x0.5,92000,63864,2,255.603,1781454.424,586.692
dens_x0.5,92000,63864,3,233.085,1781454.424,586.692
dens_x0.5,108000,87350,1,258.690,2264084.329,745.638
dens_x0.5,108000,87350,2,279.017,2264084.329,745.638
dens_x0.5,108000,87350,3,209.424,2264084.329,745.638
dens_x0.5,127000,120912,1,296.722,2913447.536,959.495
dens_x0.5,127000,120912,2,297.731,2913447.536,959.495
dens_x0.5,127000,120912,3,323.214,2913447.536,959.495
dens_x0.5,149000,166365,1,389.742,3756533.770,1237.151
dens_x0.5,149000,166365,2,315.302,3756533.770,1237.151
dens_x0.5,149000,166365,3,369.940,3756533.770,1237.151
dens_x0.5,174000,226551,1,384.883,4833373.044,1591.789
dens_x0.5,174000,226551,2,474.197,4833373.044,1591.789
dens_x0.5,174000,226551,3,385.850,4833373.044,1591.789
dens_x0.5,204000,312325,1,513.323,6312525.050,2078.923
dens_x0.5,204000,312325,2,548.002,6312525.050,2078.923
dens_x0.5,204000,312325,3,561.628,6312525.050,2078.923
dens_x0.5,240000,431142,1,707.811,8314371.662,2738.197
dens_x0.5,240000,431142,2,649.676,8314371.662,2738.197
dens_x0.5,240000,431142,3,701.845,8314371.662,2738.197
dens_x0.5,281000,589828,1,888.249,10925503.834,3598.130
dens_x0.5,281000,589828,2,891.876,10925503.834,3598.130
dens_x0.5,281000,589828,3,908.785,10925503.834,3598.130
dens_x0.5,329000,811844,1,1222.536,14493068.872,4773.047
dens_x0.5,329000,811844,2,1304.879,14493068.872,4773.047
dens_x0.5,329000,811844,3,1212.275,14493068.872,4773.047
dens_x0.5,386000,1115568,1,2245.253,19315559.086,6361.252
dens_x0.5,386000,1115568,2,2000.723,19315559.086,6361.252
dens_x0.5,386000,1115568,3,2589.654,19315559.086,6361.252
dens_x0.5,452000,1531464,1,3012.595,25827552.428,8505.867
dens_x0.5,452000,1531464,2,2750.113,25827552.428,8505.867
dens_x0.5,452000,1531464,3,2729.488,25827552.428,8505.867
dens_x0.5,530000,2103874,1,3809.212,34716124.680,11433.167
dens_x0.5,530000,2103874,2,4309.380,34716124.680,11433.167
dens_x0.5,530000,2103874,3,4481.890,34716124.680,11433.167
dens_x0.5,621000,2887681,1,6422.418,46802598.872,15413.643
dens_x0.5,621000,2887681,2,6585.869,46802598.872,15413.643
dens_x0.5,621000,2887681,3,6765.516,46802598.872,15413.643
dens_x0.5,728000,3971764,1,11958.752,63437679.196,20892.124
dens_x0.5,728000,3971764,2,10308.737,63437679.196,20892.124
dens_x0.5,728000,3971764,3,11056.578,63437679.196,20892.124
dens_x0.5,853000,5448500,1,14109.654,86056528.179,28341.259
dens_x0.5,853000,5448500,2,14769.758,86056528.179,28341.259
dens_x0.5,853000,5448500,3,14404.127,86056528.179,28341.259
dens_x0.5,1000000,7489974,1,24320.614,117293325.434,38628.569
dens_x0.5,1000000,7489974,2,24047.511,117293325.434,38628.569
dens_x0.5,1000000,7489974,3,22553.170,117293325.434,38628.569
dens_x1.0,10000,1550,1,15.795,106379.431,35.034
dens_x1.0,10000,1550,2,17.105,106379.431,35.034
dens_x1.0,10000,1550,3,17.056,106379.431,35.034
dens_x1.0,12000,2135,1,20.849,132765.276,43.724
dens_x1.0,12000,2135,2,21.907,132765.276,43.724
dens_x1.0,12000,2135,3,22.254,132765.276,43.724
dens_x1.0,14000,2963,1,28.417,161942.582,53.333
dens_x1.0,14000,2963,2,27.935,161942.582,53.333
dens_x1.0,14000,2963,3,27.837,161942.582,53.333
dens_x1.0,16000,3912,1,32.832,192755.010,63.481
dens_x1.0,16000,3912,2,32.494,192755.010,63.481
dens_x1.0,16000,3912,3,31.028,192755.010,63.481
dens_x1.0,19000,5413,1,40.669,240521.618,79.212
dens_x1.0,19000,5413,2,39.997,240521.618,79.212
dens_x1.0,19000,5413,3,43.415,240521.618,79.212
dens_x1.0,22000,7290,1,40.898,292864.786,96.450
dens_x1.0,22000,7290,2,68.058,292864.786,96.450
dens_x1.0,22000,7290,3,37.365,292864.786,96.450
dens_x1.0,26000,10078,1,49.070,366763.602,120.787
dens_x1.0,26000,10078,2,51.834,366763.602,120.787
dens_x1.0,26000,10078,3,46.146,366763.602,120.787
dens_x1.0,30000,13336,1,80.316,446748.773,147.129
dens_x1.0,30000,13336,2,74.729,446748.773,147.129
dens_x1.0,30000,13336,3,57.861,446748.773,147.129
dens_x1.0,36000,19373,1,83.950,580933.327,191.321
dens_x1.0,36000,19373,2,90.415,580933.327,191.321
dens_x1.0,36000,19373,3,77.043,580933.327,191.321
dens_x1.0,42000,26057,1,131.538,724495.682,238.600
dens_x1.0,42000,26057,2,94.107,724495.682,238.600
dens_x1.0,42000,26057,3,157.959,724495.682,238.600
dens_x1.0,49000,35903,1,121.913,916916.365,301.971
dens_x1.0,49000,35903,2,142.426,916916.365,301.971
dens_x1.0,49000,35903,3,142.150,916916.365,301.971
dens_x1.0,57000,48648,1,169.368,1156930.810,381.016
dens_x1.0,57000,48648,2,170.218,1156930.810,381.016
dens_x1.0,57000,48648,3,171.756,1156930.810,381.016
dens_x1.0,67000,67188,1,214.470,1491157.159,491.087
dens_x1.0,67000,67188,2,208.270,1491157.159,491.087
dens_x1.0,67000,67188,3,220.916,1491157.159,491.087
dens_x1.0,79000,93552,1,237.551,1945903.955,640.850
dens_x1.0,79000,93552,2,188.477,1945903.955,640.850
dens_x1.0,79000,93552,3,184.641,1945903.955,640.850
dens_x1.0,92000,126776,1,220.118,2500509.887,823.501
dens_x1.0,92000,126776,2,274.676,2500509.887,823.501
dens_x1.0,92000,126776,3,223.749,2500509.887,823.501
dens_x1.0,108000,175020,1,287.105,3280169.679,1080.268
dens_x1.0,108000,175020,2,312.388,3280169.679,1080.268
dens_x1.0,108000,175020,3,281.471,3280169.679,1080.268
dens_x1.0,127000,241838,1,374.493,4334562.918,1427.515
dens_x1.0,127000,241838,2,358.238,4334562.918,1427.515
dens_x1.0,127000,241838,3,408.865,4334562.918,1427.515
dens_x1.0,149000,333094,1,487.476,5742559.864,1891.215
dens_x1.0,149000,333094,2,564.073,5742559.864,1891.215
dens_x1.0,149000,333094,3,462.038,5742559.864,1891.215
dens_x1.0,174000,454003,1,625.079,7577993.244,2495.684
dens_x1.0,174000,454003,2,720.059,7577993.244,2495.684
dens_x1.0,174000,454003,3,753.227,7577993.244,2495.684
dens_x1.0,204000,623499,1,1540.281,10116899.562,3331.829
dens_x1.0,204000,623499,2,1002.571,10116899.562,3331.829
dens_x1.0,204000,623499,3,1068.854,10116899.562,3331.829
dens_x1.0,240000,862431,1,1298.144,13657349.809,4497.817
dens_x1.0,240000,862431,2,1314.402,13657349.809,4497.817
dens_x1.0,240000,862431,3,1310.847,13657349.809,4497.817
dens_x1.0,281000,1182168,1,2025.112,18357066.601,6045.589
dens_x1.0,281000,1182168,2,2083.471,18357066.601,6045.589
dens_x1.0,281000,1182168,3,1986.419,18357066.601,6045.589
dens_x1.0,329000,1623777,1,3467.966,24807713.897,8170.000
dens_x1.0,329000,1623777,2,2775.287,24807713.897,8170.000
dens_x1.0,329000,1623777,3,2566.352,24807713.897,8170.000
dens_x1.0,386000,2232671,1,4668.748,33685517.024,11093.754
dens_x1.0,386000,2232671,2,3965.444,33685517.024,11093.754
dens_x1.0,386000,2232671,3,4808.141,33685517.024,11093.754
dens_x1.0,452000,3055874,1,7017.716,45677561.904,15043.131
dens_x1.0,452000,3055874,2,5722.622,45677561.904,15043.131
dens_x1.0,452000,3055874,3,6966.270,45677561.904,15043.131
dens_x1.0,530000,4208065,1,9001.121,62450692.510,20567.077
dens_x1.0,530000,4208065,2,10557.556,62450692.510,20567.077
dens_x1.0,530000,4208065,3,10740.295,62450692.510,20567.077
dens_x1.0,621000,5774507,1,14674.393,85310220.195,28095.475
dens_x1.0,621000,5774507,2,16115.354,85310220.195,28095.475
dens_x1.0,621000,5774507,3,15775.575,85310220.195,28095.475
dens_x1.0,728000,7935888,1,25390.090,116945648.236,38514.067
dens_x1.0,728000,7935888,2,20846.516,116945648.236,38514.067
dens_x1.0,728000,7935888,3,21598.478,116945648.236,38514.067
dens_x1.0,853000,10900416,1,41442.053,160510699.866,52861.478
dens_x1.0,853000,10900416,2,42161.875,160510699.866,52861.478
dens_x1.0,853000,10900416,3,42103.177,160510699.866,52861.478
dens_x1.0,1000000,14986435,1,53008.511,220860761.527,72736.748
dens_x1.0,1000000,14986435,2,52939.177,220860761.527,72736.748
dens_x1.0,1000000,14986435,3,51968.340,220860761.527,72736.748
dens_x2.0,10000,3007,1,25.919,119798.897,39.454
dens_x2.0,10000,3007,2,19.887,119798.897,39.454
dens_x2.0,10000,3007,3,23.027,119798.897,39.454
dens_x2.0,12000,4365,1,27.838,153710.912,50.622
dens_x2.0,12000,4365,2,29.499,153710.912,50.622
dens_x2.0,12000,4365,3,28.616,153710.912,50.622
dens_x2.0,14000,5830,1,37.540,189313.294,62.347
dens_x2.0,14000,5830,2,31.680,189313.294,62.347
dens_x2.0,14000,5830,3,35.764,189313.294,62.347
dens_x2.0,16000,7624,1,32.257,228688.447,75.315
dens_x2.0,16000,7624,2,39.717,228688.447,75.315
dens_x2.0,16000,7624,3,31.113,228688.447,75.315
dens_x2.0,19000,10837,1,41.738,293959.920,96.811
dens_x2.0,19000,10837,2,39.956,293959.920,96.811
dens_x2.0,19000,10837,3,43.791,293959.920,96.811
dens_x2.0,22000,14556,1,49.073,365516.050,120.377
dens_x2.0,22000,14556,2,49.029,365516.050,120.377
dens_x2.0,22000,14556,3,48.099,365516.050,120.377
dens_x2.0,26000,20395,1,76.849,471644.695,155.328
dens_x2.0,26000,20395,2,76.294,471644.695,155.328
dens_x2.0,26000,20395,3,54.920,471644.695,155.328
dens_x2.0,30000,26790,1,91.247,585445.422,192.807
dens_x2.0,30000,26790,2,91.468,585445.422,192.807
dens_x2.0,30000,26790,3,90.817,585445.422,192.807
dens_x2.0,36000,38800,1,130.781,784747.311,258.443
dens_x2.0,36000,38800,2,128.351,784747.311,258.443
dens_x2.0,36000,38800,3,130.023,784747.311,258.443
dens_x2.0,42000,53391,1,157.755,1015477.726,334.430
dens_x2.0,42000,53391,2,156.454,1015477.726,334.430
dens_x2.0,42000,53391,3,172.249,1015477.726,334.430
dens_x2.0,49000,71945,1,231.629,1306154.668,430.160
dens_x2.0,49000,71945,2,201.577,1306154.668,430.160
dens_x2.0,49000,71945,3,229.360,1306154.668,430.160
dens_x2.0,57000,97182,1,165.994,1688417.255,556.052
dens_x2.0,57000,97182,2,249.906,1688417.255,556.052
dens_x2.0,57000,97182,3,226.709,1688417.255,556.052
