series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,15.467,99112.473,26.023
dens_x0.5,10000,761,2,15.346,99112.473,26.023
dens_x0.5,10000,761,3,15.207,99112.473,26.023
dens_x0.5,12000,1077,1,18.413,122827.840,32.250
dens_x0.5,12000,1077,2,19.956,122827.840,32.250
dens_x0.5,12000,1077,3,18.865,122827.840,32.250
dens_x0.5,14000,1455,1,28.436,147545.989,38.740
dens_x0.5,14000,1455,2,21.738,147545.989,38.740
dens_x0.5,14000,1455,3,22.054,147545.989,38.740
dens_x0.5,16000,1937,1,23.350,173636.330,45.590
dens_x0.5,16000,1937,2,24.948,173636.330,45.590
dens_x0.5,16000,1937,3,23.249,173636.330,45.590
dens_x0.5,19000,2715,1,28.115,213940.398,56.172
dens_x0.5,19000,2715,2,29.197,213940.398,56.172
dens_x0.5,19000,2715,3,29.275,213940.398,56.172
dens_x0.5,22000,3611,1,33.547,256079.209,67.236
dens_x0.5,22000,3611,2,36.908,256079.209,67.236
dens_x0.5,22000,3611,3,35.231,256079.209,67.236
dens_x0.5,26000,5194,1,38.924,317113.582,83.261
dens_x0.5,26000,5194,2,42.115,317113.582,83.261
dens_x0.5,26000,5194,3,39.713,317113.582,83.261
dens_x0.5,30000,6763,1,67.958,378988.027,99.507
dens_x0.5,30000,6763,2,42.524,378988.027,99.507
dens_x0.5,30000,6763,3,43.359,378988.027,99.507
dens_x0.5,36000,9660,1,46.321,479031.581,125.774
dens_x0.5,36000,9660,2,45.298,479031.581,125.774
dens_x0.5,36000,9660,3,42.455,479031.581,125.774
dens_x0.5,42000,13346,1,56.408,589181.686,154.695
dens_x0.5,42000,13346,2,55.323,589181.686,154.695
dens_x0.5,42000,13346,3,59.205,589181.686,154.695
dens_x0.5,49000,17900,1,60.583,722491.606,189.697
dens_x0.5,49000,17900,2,59.983,722491.606,189.697
dens_x0.5,49000,17900,3,59.318,722491.606,189.697
dens_x0.5,57000,24363,1,73.324,890990.473,233.938
dens_x0.5,57000,24363,2,73.899,890990.473,233.938
dens_x0.5,57000,24363,3,74.315,890990.473,233.938
dens_x0.5,67000,33829,1,138.137,1120457.009,294.187
dens_x0.5,67000,33829,2,137.270,1120457.009,294.187
dens_x0.5,67000,33829,3,137.367,1120457.009,294.187
dens_x0.5,79000,46917,1,184.130,1419991.587,372.832
dens_x0.5,79000,46917,2,194.899,1419991.587,372.832
dens_x0.5,79000,46917,3,221.479,1419991.587,372.832
dens_x0.5,92000,63864,1,233.290,1781454.424,467.738
dens_x0.5,92000,63864,2,284.284,1781454.424,467.738
dens_x0.5,92000,63864,3,311.293,1781454.424,467.738
dens_x0.5,108000,87350,1,263.641,2264084.329,594.457
dens_x0.5,108000,87350,2,266.367,2264084.329,594.457
dens_x0.5,108000,87350,3,280.940,2264084.329,594.457
dens_x0.5,127000,120912,1,271.834,2913447.536,764.954
dens_x0.5,127000,120912,2,284.661,2913447.536,764.954
dens_x0.5,127000,120912,3,257.204,2913447.536,764.954
dens_x0.5,149000,166365,1,335.326,3756533.770,986.314
dens_x0.5,149000,166365,2,320.044,3756533.770,986.314
dens_x0.5,149000,166365,3,302.948,3756533.770,986.314
dens_x0.5,174000,226551,1,398.037,4833373.044,1269.049
dens_x0.5,174000,226551,2,381.909,4833373.044,1269.049
dens_x0.5,174000,226551,3,395.745,4833373.044,1269.049
dens_x0.5,204000,312325,1,533.436,6312525.050,1657.414
dens_x0.5,204000,312325,2,518.033,6312525.050,1657.414
dens_x0.5,204000,312325,3,533.411,6312525.050,1657.414
dens_x0.5,240000,431142,1,654.672,8314371.662,2183.018
dens_x0.5,240000,431142,2,636.705,8314371.662,2183.018
dens_x0.5,240000,431142,3,646.470,8314371.662,2183.018
dens_x0.5,281000,589828,1,928.709,10925503.834,2868.596
dens_x0.5,281000,589828,2,938.183,10925503.834,2868.596
dens_x0.5,281000,589828,3,893.858,10925503.834,2868.596
dens_x0.5,329000,811844,1,1234.116,14493068.872,3805.295
dens_x0.5,329000,811844,2,1227.491,14493068.872,3805.295
dens_x0.5,329000,811844,3,1175.747,14493068.872,3805.295
dens_x0.5,386000,1115568,1,1811.607,19315559.086,5071.486
dens_x0.5,386000,1115568,2,1734.140,19315559.086,5071.486
dens_x0.5,386000,1115568,3,1746.189,19315559.086,5071.486
dens_x0.5,452000,1531464,1,2372.135,25827552.428,6781.272
dens_x0.5,452000,1531464,2,2490.243,25827552.428,6781.272
dens_x0.5,452000,1531464,3,2315.387,25827552.428,6781.272
dens_x0.5,530000,2103874,1,3490.322,34716124.680,9115.052
dens_x0.5,530000,2103874,2,4043.773,34716124.680,9115.052
dens_x0.5,530000,2103874,3,3668.140,34716124.680,9115.052
dens_x0.5,621000,2887681,1,5439.786,46802598.872,12288.472
dens_x0.5,621000,2887681,2,5475.330,46802598.872,12288.472
dens_x0.5,621000,2887681,3,5776.755,46802598.872,12288.472
