series,n,m,trial,ms,theo_x,normalized_theory_ms
dens_x0.5,10000,761,1,17.752,99112.473,50.448
dens_x0.5,10000,761,2,17.676,99112.473,50.448
dens_x0.5,10000,761,3,17.359,99112.473,50.448
dens_x0.5,12000,1077,1,19.911,122827.840,62.519
dens_x0.5,12000,1077,2,18.349,122827.840,62.519
dens_x0.5,12000,1077,3,17.963,122827.840,62.519
dens_x0.5,14000,1455,1,21.243,147545.989,75.101
dens_x0.5,14000,1455,2,21.438,147545.989,75.101
dens_x0.5,14000,1455,3,21.547,147545.989,75.101
dens_x0.5,16000,1937,1,33.463,173636.330,88.381
dens_x0.5,16000,1937,2,25.635,173636.330,88.381
dens_x0.5,16000,1937,3,24.989,173636.330,88.381
dens_x0.5,19000,2715,1,29.835,213940.398,108.895
dens_x0.5,19000,2715,2,29.484,213940.398,108.895
dens_x0.5,19000,2715,3,29.684,213940.398,108.895
dens_x0.5,22000,3611,1,30.203,256079.209,130.344
dens_x0.5,22000,3611,2,30.522,256079.209,130.344
dens_x0.5,22000,3611,3,33.004,256079.209,130.344
dens_x0.5,26000,5194,1,41.147,317113.582,161.410
dens_x0.5,26000,5194,2,40.076,317113.582,161.410
dens_x0.5,26000,5194,3,36.815,317113.582,161.410
dens_x0.5,30000,6763,1,44.788,378988.027,192.904
dens_x0.5,30000,6763,2,44.445,378988.027,192.904
dens_x0.5,30000,6763,3,42.679,378988.027,192.904
dens_x0.5,36000,9660,1,45.425,479031.581,243.826
dens_x0.5,36000,9660,2,46.989,479031.581,243.826
dens_x0.5,36000,9660,3,44.779,479031.581,243.826
dens_x0.5,42000,13346,1,50.098,589181.686,299.892
dens_x0.5,42000,13346,2,51.428,589181.686,299.892
dens_x0.5,42000,13346,3,53.184,589181.686,299.892
dens_x0.5,49000,17900,1,64.897,722491.606,367.747
dens_x0.5,49000,17900,2,57.590,722491.606,367.747
dens_x0.5,49000,17900,3,62.995,722491.606,367.747
dens_x0.5,57000,24363,1,110.618,890990.473,453.512
dens_x0.5,57000,24363,2,109.511,890990.473,453.512
dens_x0.5,57000,24363,3,107.511,890990.473,453.512
dens_x0.5,67000,33829,1,157.316,1120457.009,570.310
dens_x0.5,67000,33829,2,152.683,1120457.009,570.310
dens_x0.5,67000,33829,3,149.917,1120457.009,570.310
dens_x0.5,79000,46917,1,217.186,1419991.587,722.773
dens_x0.5,79000,46917,2,218.315,1419991.587,722.773
dens_x0.5,79000,46917,3,214.770,1419991.587,722.773
dens_x0.5,92000,63864,1,254.246,1781454.424,906.757
dens_x0.5,92000,63864,2,223.552,1781454.424,906.757
dens_x0.5,92000,63864,3,225.867,1781454.424,906.757
dens_x0.5,108000,87350,1,301.682,2264084.329,1152.414
dens_x0.5,108000,87350,2,218.064,2264084.329,1152.414
dens_x0.5,108000,87350,3,215.160,2264084.329,1152.414
dens_x0.5,127000,120912,1,315.482,2913447.536,1482.939
dens_x0.5,127000,120912,2,293.023,2913447.536,1482.939
dens_x0.5,127000,120912,3,379.251,2913447.536,1482.939
dens_x0.5,149000,166365,1,338.435,3756533.770,1912.068
dens_x0.5,149000,166365,2,346.454,3756533.770,1912.068
dens_x0.5,149000,166365,3,346.208,3756533.770,1912.068
