Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
L-RMC,25,0.8,0.01,0.050,1.000,0.096,0.012,1.0,6.0,29.7,497,24
k-core,25,0.8,0.01,1.000,1.000,1.000,0.791,15.7,19.0,22.2,392,2
Densest,25,0.8,0.01,1.000,1.000,1.000,0.791,15.7,19.0,22.2,392,14
QuasiClique,25,0.8,0.01,1.000,0.440,0.611,0.969,9.2,9.7,10.0,101,15
L-RMC,25,0.8,0.10,0.065,1.000,0.122,0.114,35.5,43.8,69.9,13714,36
k-core,25,0.8,0.10,0.050,1.000,0.095,0.101,32.0,50.6,81.1,16000,5
Densest,25,0.8,0.10,0.050,1.000,0.095,0.101,32.0,50.6,81.1,16000,53
QuasiClique,25,0.8,0.10,1.000,0.440,0.611,0.969,9.2,9.7,10.0,101,57
L-RMC,25,0.8,0.15,0.078,0.996,0.144,0.175,47.9,56.2,77.6,15404,15
k-core,25,0.8,0.15,0.050,1.000,0.095,0.151,51.0,75.5,105.4,25500,6
Densest,25,0.8,0.15,0.050,1.000,0.095,0.151,51.0,75.5,105.4,25500,81
QuasiClique,25,0.8,0.15,1.000,0.440,0.611,0.969,9.2,9.7,10.0,101,82
L-RMC,25,0.9,0.01,0.050,1.000,0.096,0.012,1.0,6.1,31.4,497,5
k-core,25,0.9,0.01,1.000,1.000,1.000,0.892,18.8,21.4,23.7,470,0
Densest,25,0.9,0.01,1.000,1.000,1.000,0.892,18.8,21.4,23.7,470,8
QuasiClique,25,0.9,0.01,1.000,0.512,0.676,1.000,11.8,11.8,11.8,152,9
L-RMC,25,0.9,0.10,0.066,1.000,0.124,0.115,35.2,43.5,71.7,13358,11
k-core,25,0.9,0.10,0.050,1.000,0.095,0.102,32.0,50.8,83.7,16000,4
Densest,25,0.9,0.10,0.050,1.000,0.095,0.102,32.0,50.8,83.7,16000,51
QuasiClique,25,0.9,0.10,1.000,0.512,0.676,1.000,11.8,11.8,11.8,152,54
L-RMC,25,0.9,0.15,0.078,1.000,0.144,0.176,48.0,56.6,80.1,15536,15
k-core,25,0.9,0.15,0.050,1.000,0.095,0.151,51.0,75.6,107.4,25500,6
Densest,25,0.9,0.15,0.050,1.000,0.095,0.151,51.0,75.6,107.4,25500,76
QuasiClique,25,0.9,0.15,1.000,0.512,0.676,1.000,11.8,11.8,11.8,152,80
L-RMC,50,0.8,0.01,0.101,1.000,0.183,0.018,1.0,8.9,51.0,497,5
k-core,50,0.8,0.01,1.000,1.000,1.000,0.795,32.9,39.0,44.8,1645,0
Densest,50,0.8,0.01,1.000,1.000,1.000,0.795,32.9,39.0,44.8,1645,11
QuasiClique,50,0.8,0.01,1.000,0.260,0.412,0.998,11.9,12.0,12.0,156,11
L-RMC,50,0.8,0.10,0.148,1.000,0.257,0.131,33.2,44.3,85.0,11350,9
k-core,50,0.8,0.10,0.100,1.000,0.182,0.107,31.2,53.2,100.2,15600,4
Densest,50,0.8,0.10,0.100,1.000,0.182,0.107,31.2,53.2,100.2,15600,52
QuasiClique,50,0.8,0.10,1.000,0.260,0.412,0.998,11.9,12.0,12.0,156,55
L-RMC,50,0.8,0.15,0.177,1.000,0.300,0.196,44.0,55.6,91.2,12617,13
k-core,50,0.8,0.15,0.100,1.000,0.182,0.156,51.0,77.9,122.6,25500,6
Densest,50,0.8,0.15,0.100,1.000,0.182,0.156,51.0,77.9,122.6,25500,77
QuasiClique,50,0.8,0.15,1.000,0.260,0.412,0.998,11.9,12.0,12.0,156,81
L-RMC,50,0.9,0.01,0.101,1.000,0.183,0.019,1.0,9.4,55.8,497,6
k-core,50,0.9,0.01,1.000,1.000,1.000,0.899,39.3,44.1,48.0,1965,0
Densest,50,0.9,0.01,1.000,1.000,1.000,0.899,39.3,44.1,48.0,1965,12
QuasiClique,50,0.9,0.01,1.000,0.404,0.575,1.000,19.2,19.2,19.2,389,12
L-RMC,50,0.9,0.10,0.150,1.000,0.261,0.134,32.7,44.6,88.6,10913,9
k-core,50,0.9,0.10,0.100,1.000,0.182,0.108,31.2,53.7,105.2,15600,4
Densest,50,0.9,0.10,0.100,1.000,0.182,0.108,31.2,53.7,105.2,15600,53
