Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,0.984,0.952,0.967,0.594,3863,17287
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,6
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,24610
L-RMC,100,0.6,0.35,0.252,0.630,0.359,0.445,26667,32928
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,3
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,33743
L-RMC,100,0.6,0.45,0.092,0.210,0.127,0.550,27617,46439
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,3
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,43852
L-RMC,100,0.7,0.25,0.995,0.989,0.992,0.695,4792,20982
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,24822
L-RMC,100,0.7,0.35,0.991,0.925,0.957,0.699,4527,34107
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,3
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,34320
L-RMC,100,0.7,0.45,0.269,0.562,0.363,0.562,23597,47241
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,42701
L-RMC,100,0.8,0.25,0.995,0.999,0.997,0.792,5376,20988
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,24125
L-RMC,100,0.8,0.35,0.994,0.985,0.989,0.793,5587,33386
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,3
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,33697
L-RMC,100,0.8,0.45,0.990,0.916,0.951,0.796,5294,46366
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,3
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,44840
L-RMC,100,0.9,0.25,0.991,0.998,0.995,0.891,4494,21666
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,3
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,25023
L-RMC,100,0.9,0.35,0.992,0.996,0.994,0.894,5745,34403
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,3
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,33922
L-RMC,100,0.9,0.45,0.991,0.979,0.985,0.895,6107,48848
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,3
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,44669
L-RMC,150,0.6,0.25,1.000,0.902,0.948,0.615,9966,23420
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,3
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,27249
L-RMC,150,0.6,0.35,0.999,0.885,0.938,0.614,9521,37957
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,3
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,40113
L-RMC,150,0.6,0.45,0.239,0.370,0.290,0.552,27825,52156
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,3
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,46747
L-RMC,150,0.7,0.25,1.000,0.897,0.946,0.715,11738,24455
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,3
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,28673
L-RMC,150,0.7,0.35,1.000,0.898,0.946,0.715,11761,33755
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,32940
L-RMC,150,0.7,0.45,1.000,0.886,0.939,0.712,11272,47851
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.7,0.45,0.998,0.938,0.967,0.703,12020,41774
L-RMC,150,0.8,0.25,1.000,0.925,0.961,0.809,14402,21967
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.8,0.25,1.000,1.000,1.000,0.798,15780,24337
L-RMC,150,0.8,0.35,1.000,0.925,0.961,0.809,14402,32607
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.8,0.35,1.000,1.000,1.000,0.798,15780,31401
L-RMC,150,0.8,0.45,1.000,0.925,0.961,0.808,14401,45398
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.8,0.45,1.000,0.995,0.998,0.798,15691,39236
L-RMC,150,0.9,0.25,1.000,0.949,0.974,0.905,17253,20442
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.9,0.25,1.000,1.000,1.000,0.900,18570,23115
L-RMC,150,0.9,0.35,1.000,0.949,0.974,0.905,17253,30945
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.9,0.35,1.000,1.000,1.000,0.900,18570,30441
L-RMC,150,0.9,0.45,1.000,0.949,0.974,0.905,17253,40421
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,2593750,2
Densest,150,0.9,0.45,1.000,1.000,1.000,0.900,18570,37248
L-RMC,200,0.6,0.25,1.000,0.779,0.875,0.630,14018,17721
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,1380750,2
Densest,200,0.6,0.25,1.000,1.000,1.000,0.599,19700,20854
L-RMC,200,0.6,0.35,1.000,0.782,0.877,0.629,14083,27695
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.6,0.35,0.999,0.995,0.997,0.600,19583,28944
L-RMC,200,0.6,0.45,0.923,0.667,0.774,0.628,11899,40300
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,2592750,2
Densest,200,0.6,0.45,0.918,0.710,0.799,0.620,13486,37215
L-RMC,200,0.7,0.25,1.000,0.757,0.861,0.731,15582,17798
k-core,200,0.7,0.25,0.080,1.000,0.148,0.253,1380750,2
Densest,200,0.7,0.25,1.000,1.000,1.000,0.699,24040,20919
L-RMC,200,0.7,0.35,1.000,0.757,0.861,0.731,15582,27618
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.7,0.35,1.000,1.000,1.000,0.699,24040,28873
