Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.091,0.167,1.000,74,16489
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1375500,4
Densest,100,0.6,0.25,1.000,0.953,0.976,0.600,4432,24174
L-RMC,100,0.6,0.35,0.965,0.088,0.161,1.000,74,25155
k-core,100,0.6,0.35,0.040,1.000,0.077,0.350,1974750,2
Densest,100,0.6,0.35,0.891,0.557,0.684,0.633,2068,33727
L-RMC,100,0.6,0.45,0.054,0.005,0.009,1.000,75,33429
k-core,100,0.6,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.6,0.45,0.109,0.351,0.152,0.532,99867,43795
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,138,16150
k-core,100,0.7,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.7,0.25,1.000,0.994,0.997,0.697,5656,24558
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,147,24309
k-core,100,0.7,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.7,0.35,1.000,0.925,0.961,0.702,4933,34222
L-RMC,100,0.7,0.45,0.799,0.086,0.155,1.000,101,32721
k-core,100,0.7,0.45,0.040,1.000,0.077,0.450,2597750,2
Densest,100,0.7,0.45,0.722,0.500,0.579,0.693,4879,44268
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,262,16272
k-core,100,0.8,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.8,0.25,1.000,0.999,0.999,0.796,6793,24700
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,269,23801
k-core,100,0.8,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.8,0.35,1.000,0.985,0.992,0.797,6628,33908
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,253,33398
k-core,100,0.8,0.45,0.040,1.000,0.077,0.451,2597750,3
Densest,100,0.8,0.45,1.000,0.916,0.956,0.800,5747,43053
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,641,16274
k-core,100,0.9,0.25,0.040,1.000,0.077,0.251,1375500,2
Densest,100,0.9,0.25,1.000,0.999,0.999,0.899,8101,24555
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,649,25340
k-core,100,0.9,0.35,0.040,1.000,0.077,0.351,1974750,2
Densest,100,0.9,0.35,1.000,0.997,0.998,0.899,8065,34753
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,680,33059
k-core,100,0.9,0.45,0.040,1.000,0.077,0.451,2597750,2
Densest,100,0.9,0.45,1.000,0.979,0.989,0.900,7784,44028
L-RMC,150,0.6,0.25,1.000,0.067,0.126,1.000,92,16355
k-core,150,0.6,0.25,0.060,1.000,0.113,0.251,1378250,2
Densest,150,0.6,0.25,1.000,0.997,0.999,0.599,11086,24959
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,100,25670
k-core,150,0.6,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.6,0.35,0.996,0.945,0.970,0.603,10142,35613
L-RMC,150,0.6,0.45,0.248,0.016,0.030,1.000,86,35843
k-core,150,0.6,0.45,0.060,1.000,0.113,0.451,2593750,3
Densest,150,0.6,0.45,0.294,0.411,0.326,0.559,36532,47291
L-RMC,150,0.7,0.25,1.000,0.090,0.165,1.000,170,17307
k-core,150,0.7,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.7,0.25,1.000,1.000,1.000,0.698,13305,29406
L-RMC,150,0.7,0.35,1.000,0.091,0.166,1.000,173,26105
k-core,150,0.7,0.35,0.060,1.000,0.113,0.351,1974250,2
Densest,150,0.7,0.35,1.000,0.999,0.999,0.698,13258,43793
L-RMC,150,0.7,0.45,1.000,0.088,0.162,1.000,162,38423
k-core,150,0.7,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.7,0.45,0.998,0.938,0.967,0.703,12020,50300
L-RMC,150,0.8,0.25,1.000,0.126,0.224,1.000,340,17918
k-core,150,0.8,0.25,0.060,1.000,0.113,0.252,1378250,3
Densest,150,0.8,0.25,1.000,1.000,1.000,0.798,15780,27611
L-RMC,150,0.8,0.35,1.000,0.126,0.224,1.000,340,27770
k-core,150,0.8,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.8,0.35,1.000,1.000,1.000,0.798,15780,41676
L-RMC,150,0.8,0.45,1.000,0.127,0.225,1.000,344,35651
k-core,150,0.8,0.45,0.060,1.000,0.113,0.451,2593750,2
Densest,150,0.8,0.45,1.000,0.995,0.998,0.798,15691,48768
L-RMC,150,0.9,0.25,1.000,0.216,0.355,1.000,1020,16836
k-core,150,0.9,0.25,0.060,1.000,0.113,0.252,1378250,2
Densest,150,0.9,0.25,1.000,1.000,1.000,0.900,18570,25450
L-RMC,150,0.9,0.35,1.000,0.216,0.355,1.000,1020,25313
k-core,150,0.9,0.35,0.060,1.000,0.113,0.352,1974250,2
Densest,150,0.9,0.35,1.000,1.000,1.000,0.900,18570,34964
L-RMC,150,0.9,0.45,1.000,0.216,0.355,1.000,1020,34412
k-core,150,0.9,0.45,0.060,1.000,0.113,0.452,2593750,2
Densest,150,0.9,0.45,1.000,1.000,1.000,0.900,18570,44081
L-RMC,200,0.6,0.25,1.000,0.053,0.100,1.000,101,16899
k-core,200,0.6,0.25,0.080,1.000,0.148,0.252,1380750,2
Densest,200,0.6,0.25,1.000,1.000,1.000,0.599,19700,25191
L-RMC,200,0.6,0.35,1.000,0.053,0.100,1.000,100,25146
k-core,200,0.6,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.6,0.35,0.999,0.995,0.997,0.600,19583,35087
L-RMC,200,0.6,0.45,0.982,0.054,0.101,1.000,110,34566
k-core,200,0.6,0.45,0.080,1.000,0.148,0.451,2592750,2
Densest,200,0.6,0.45,0.918,0.710,0.799,0.620,13486,43988
L-RMC,200,0.7,0.25,1.000,0.072,0.134,1.000,194,17018
k-core,200,0.7,0.25,0.080,1.000,0.148,0.253,1380750,2
Densest,200,0.7,0.25,1.000,1.000,1.000,0.699,24040,25088
L-RMC,200,0.7,0.35,1.000,0.072,0.134,1.000,194,24830
k-core,200,0.7,0.35,0.080,1.000,0.148,0.352,1980750,2
Densest,200,0.7,0.35,1.000,1.000,1.000,0.699,24040,34770
L-RMC,200,0.7,0.45,1.000,0.072,0.133,1.000,192,33750
k-core,200,0.7,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.7,0.45,1.000,0.991,0.995,0.700,23665,44396
L-RMC,200,0.8,0.25,1.000,0.104,0.188,1.000,413,17061
k-core,200,0.8,0.25,0.080,1.000,0.148,0.253,1380750,2
Densest,200,0.8,0.25,1.000,1.000,1.000,0.799,28560,25920
L-RMC,200,0.8,0.35,1.000,0.104,0.188,1.000,413,24946
k-core,200,0.8,0.35,0.080,1.000,0.148,0.353,1980750,2
Densest,200,0.8,0.35,1.000,1.000,1.000,0.799,28560,34667
L-RMC,200,0.8,0.45,1.000,0.104,0.188,1.000,413,34385
k-core,200,0.8,0.45,0.080,1.000,0.148,0.452,2592750,2
Densest,200,0.8,0.45,1.000,1.000,1.000,0.799,28560,43508
L-RMC,200,0.9,0.25,1.000,0.177,0.301,1.000,1219,16594
k-core,200,0.9,0.25,0.080,1.000,0.148,0.254,1380750,2
Densest,200,0.9,0.25,1.000,1.000,1.000,0.900,33300,24720
L-RMC,200,0.9,0.35,1.000,0.177,0.301,1.000,1219,24871
k-core,200,0.9,0.35,0.080,1.000,0.148,0.354,1980750,2
Densest,200,0.9,0.35,1.000,1.000,1.000,0.900,33300,34137
L-RMC,200,0.9,0.45,1.000,0.177,0.301,1.000,1219,34005
k-core,200,0.9,0.45,0.080,1.000,0.148,0.453,2592750,3
Densest,200,0.9,0.45,1.000,1.000,1.000,0.900,33300,44003
