Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.15,0.000,0.000,0.000,0.558,128,3349
k-core,20,0.6,0.15,0.008,1.000,0.016,0.150,787500,15
Densest,20,0.6,0.15,0.016,0.050,0.024,0.336,1054,13633
L-RMC,20,0.6,0.25,0.000,0.000,0.000,0.803,96,11388
k-core,20,0.6,0.25,0.008,1.000,0.016,0.250,1387500,5
Densest,20,0.6,0.25,0.011,0.850,0.023,0.264,555024,22436
L-RMC,20,0.6,0.30,0.000,0.000,0.000,0.758,126,12668
k-core,20,0.6,0.30,0.008,1.000,0.016,0.300,1695000,4
Densest,20,0.6,0.30,0.017,0.150,0.031,0.413,11008,22744
L-RMC,20,0.6,0.40,0.000,0.000,0.000,0.857,165,19795
k-core,20,0.6,0.40,0.008,1.000,0.016,0.399,2282500,11
Densest,20,0.6,0.40,0.009,1.000,0.018,0.405,1796564,29873
L-RMC,20,0.8,0.15,0.000,0.000,0.000,0.682,72,7191
k-core,20,0.8,0.15,0.008,1.000,0.016,0.150,800000,2
Densest,20,0.8,0.15,0.250,0.600,0.353,0.374,720,11808
L-RMC,20,0.8,0.25,0.000,0.000,0.000,0.764,77,13930
k-core,20,0.8,0.25,0.008,1.000,0.016,0.250,1365000,2
Densest,20,0.8,0.25,0.012,0.500,0.023,0.279,196128,19924
L-RMC,20,0.8,0.30,0.000,0.000,0.000,0.889,70,15039
k-core,20,0.8,0.30,0.008,1.000,0.016,0.300,1675000,2
Densest,20,0.8,0.30,0.024,0.150,0.041,0.436,6250,23083
L-RMC,20,0.8,0.40,0.000,0.000,0.000,0.956,80,17686
k-core,20,0.8,0.40,0.008,1.000,0.016,0.400,2302500,2
Densest,20,0.8,0.40,0.012,0.650,0.024,0.426,475592,30015
L-RMC,20,0.9,0.15,0.000,0.000,0.000,0.652,72,5826
k-core,20,0.9,0.15,0.008,1.000,0.016,0.150,775000,5
Densest,20,0.9,0.15,0.015,0.750,0.029,0.171,158841,11517
L-RMC,20,0.9,0.25,0.000,0.000,0.000,0.889,63,11975
k-core,20,0.9,0.25,0.008,1.000,0.016,0.250,1377500,2
Densest,20,0.9,0.25,0.029,0.050,0.037,0.537,510,19620
L-RMC,20,0.9,0.30,0.000,0.000,0.000,0.792,176,14900
k-core,20,0.9,0.30,0.008,1.000,0.016,0.300,1672500,2
Densest,20,0.9,0.30,0.053,0.100,0.069,0.593,760,23466
L-RMC,20,0.9,0.40,0.000,0.000,0.000,0.885,130,19574
k-core,20,0.9,0.40,0.008,1.000,0.016,0.399,2262500,12
Densest,20,0.9,0.40,0.014,0.450,0.026,0.443,184698,30465
L-RMC,50,0.6,0.15,1.000,0.180,0.305,1.000,72,5887
k-core,50,0.6,0.15,0.020,1.000,0.039,0.151,790000,2
Densest,50,0.6,0.15,1.000,0.900,0.947,0.626,990,11558
L-RMC,50,0.6,0.25,0.000,0.000,0.000,0.736,112,10096
k-core,50,0.6,0.25,0.020,1.000,0.039,0.250,1382500,2
Densest,50,0.6,0.25,0.067,0.460,0.117,0.318,34300,19772
L-RMC,50,0.6,0.30,0.000,0.000,0.000,0.844,70,15226
k-core,50,0.6,0.30,0.020,1.000,0.039,0.300,1607500,4
Densest,50,0.6,0.30,0.071,0.200,0.105,0.429,7700,24682
L-RMC,50,0.6,0.40,0.000,0.000,0.000,0.897,130,20046
k-core,50,0.6,0.40,0.020,1.000,0.039,0.400,2307500,2
Densest,50,0.6,0.40,0.050,0.240,0.082,0.495,27104,30302
L-RMC,50,0.8,0.15,1.000,0.240,0.387,1.000,132,6241
k-core,50,0.8,0.15,0.020,1.000,0.039,0.150,795000,2
Densest,50,0.8,0.15,1.000,1.000,1.000,0.813,1650,11607
L-RMC,50,0.8,0.25,1.000,0.280,0.438,1.000,182,11137
k-core,50,0.8,0.25,0.020,1.000,0.039,0.250,1382500,2
Densest,50,0.8,0.25,1.000,0.840,0.913,0.819,1218,19875
L-RMC,50,0.8,0.30,1.000,0.300,0.462,1.000,210,12952
k-core,50,0.8,0.30,0.020,1.000,0.039,0.300,1695000,2
Densest,50,0.8,0.30,1.000,0.840,0.913,0.821,1176,23207
L-RMC,50,0.8,0.40,0.091,0.020,0.033,0.927,99,21636
k-core,50,0.8,0.40,0.020,1.000,0.039,0.400,2312500,2
Densest,50,0.8,0.40,0.098,0.180,0.127,0.577,4416,30019
L-RMC,50,0.9,0.15,1.000,0.380,0.551,1.000,342,6156
k-core,50,0.9,0.15,0.020,1.000,0.039,0.151,812500,2
Densest,50,0.9,0.15,1.000,1.000,1.000,0.889,1950,11503
L-RMC,50,0.9,0.25,1.000,0.340,0.507,1.000,272,10445
k-core,50,0.9,0.25,0.020,1.000,0.039,0.250,1360000,8
Densest,50,0.9,0.25,1.000,0.920,0.958,0.892,1564,19375
L-RMC,50,0.9,0.30,1.000,0.360,0.529,1.000,306,12804
k-core,50,0.9,0.30,0.020,1.000,0.039,0.300,1695000,2
Densest,50,0.9,0.30,1.000,0.960,0.980,0.907,1920,23531
L-RMC,50,0.9,0.40,1.000,0.300,0.462,1.000,210,17721
k-core,50,0.9,0.40,0.020,1.000,0.039,0.400,2225000,3
Densest,50,0.9,0.40,0.967,0.580,0.725,0.883,630,30300
L-RMC,100,0.6,0.15,1.000,0.170,0.291,0.890,221,5963
k-core,100,0.6,0.15,0.040,1.000,0.077,0.151,792500,2
Densest,100,0.6,0.15,1.000,1.000,1.000,0.608,4600,11645
L-RMC,100,0.6,0.25,1.000,0.160,0.276,0.875,192,10593
k-core,100,0.6,0.25,0.040,1.000,0.077,0.251,1395000,2
Densest,100,0.6,0.25,1.000,0.980,0.990,0.589,4508,19114
L-RMC,100,0.6,0.30,1.000,0.090,0.165,1.000,72,14275
k-core,100,0.6,0.30,0.040,1.000,0.077,0.301,1687500,3
Densest,100,0.6,0.30,1.000,0.930,0.964,0.609,4371,23083
L-RMC,100,0.6,0.40,0.000,0.000,0.000,0.933,80,19365
k-core,100,0.6,0.40,0.040,1.000,0.077,0.400,2262500,18
Densest,100,0.6,0.40,0.150,0.370,0.214,0.495,27552,30802
L-RMC,100,0.8,0.15,1.000,0.180,0.305,1.000,306,6037
k-core,100,0.8,0.15,0.040,1.000,0.077,0.151,780000,2
