Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.15,0.000,0.000,0.000,1.000,12,3456
k-core,20,0.6,0.15,0.008,1.000,0.016,0.150,787500,15
Densest,20,0.6,0.15,0.016,0.050,0.024,0.336,1054,11385
L-RMC,20,0.6,0.25,0.000,0.000,0.000,1.000,30,10554
k-core,20,0.6,0.25,0.008,1.000,0.016,0.250,1387500,4
Densest,20,0.6,0.25,0.011,0.850,0.023,0.264,555024,19438
L-RMC,20,0.6,0.30,0.000,0.000,0.000,1.000,30,15017
k-core,20,0.6,0.30,0.008,1.000,0.016,0.300,1695000,3
Densest,20,0.6,0.30,0.017,0.150,0.031,0.413,11008,23405
L-RMC,20,0.6,0.40,0.000,0.000,0.000,1.000,56,19613
k-core,20,0.6,0.40,0.008,1.000,0.016,0.399,2282500,8
Densest,20,0.6,0.40,0.009,1.000,0.018,0.405,1796564,30201
L-RMC,20,0.8,0.15,0.000,0.000,0.000,1.000,20,6777
k-core,20,0.8,0.15,0.008,1.000,0.016,0.150,800000,2
Densest,20,0.8,0.15,0.250,0.600,0.353,0.374,720,11783
L-RMC,20,0.8,0.25,0.000,0.000,0.000,1.000,20,12554
k-core,20,0.8,0.25,0.008,1.000,0.016,0.250,1365000,2
Densest,20,0.8,0.25,0.012,0.500,0.023,0.279,196128,19677
L-RMC,20,0.8,0.30,0.000,0.000,0.000,1.000,42,16099
k-core,20,0.8,0.30,0.008,1.000,0.016,0.300,1675000,2
Densest,20,0.8,0.30,0.024,0.150,0.041,0.436,6250,23399
L-RMC,20,0.8,0.40,0.000,0.000,0.000,1.000,56,23626
k-core,20,0.8,0.40,0.008,1.000,0.016,0.400,2302500,2
Densest,20,0.8,0.40,0.012,0.650,0.024,0.426,475592,30755
L-RMC,20,0.9,0.15,0.000,0.000,0.000,1.000,20,6807
k-core,20,0.9,0.15,0.008,1.000,0.016,0.150,775000,2
Densest,20,0.9,0.15,0.015,0.750,0.029,0.171,158841,11561
L-RMC,20,0.9,0.25,0.000,0.000,0.000,1.000,20,11576
k-core,20,0.9,0.25,0.008,1.000,0.016,0.250,1377500,13
Densest,20,0.9,0.25,0.029,0.050,0.037,0.537,510,19547
L-RMC,20,0.9,0.30,0.000,0.000,0.000,1.000,30,14761
k-core,20,0.9,0.30,0.008,1.000,0.016,0.300,1672500,2
Densest,20,0.9,0.30,0.053,0.100,0.069,0.593,760,23237
L-RMC,20,0.9,0.40,0.000,0.000,0.000,1.000,56,19129
k-core,20,0.9,0.40,0.008,1.000,0.016,0.399,2262500,6
Densest,20,0.9,0.40,0.014,0.450,0.026,0.443,184698,31519
L-RMC,50,0.6,0.15,1.000,0.180,0.305,1.000,72,6731
k-core,50,0.6,0.15,0.020,1.000,0.039,0.151,790000,6
Densest,50,0.6,0.15,1.000,0.900,0.947,0.626,990,12561
L-RMC,50,0.6,0.25,0.000,0.000,0.000,1.000,30,12439
k-core,50,0.6,0.25,0.020,1.000,0.039,0.250,1382500,2
Densest,50,0.6,0.25,0.067,0.460,0.117,0.318,34300,19922
L-RMC,50,0.6,0.30,0.000,0.000,0.000,1.000,30,14285
k-core,50,0.6,0.30,0.020,1.000,0.039,0.300,1607500,7
Densest,50,0.6,0.30,0.071,0.200,0.105,0.429,7700,23360
L-RMC,50,0.6,0.40,0.000,0.000,0.000,1.000,56,19368
k-core,50,0.6,0.40,0.020,1.000,0.039,0.400,2307500,2
Densest,50,0.6,0.40,0.050,0.240,0.082,0.495,27104,30114
L-RMC,50,0.8,0.15,1.000,0.240,0.387,1.000,132,6681
k-core,50,0.8,0.15,0.020,1.000,0.039,0.150,795000,2
Densest,50,0.8,0.15,1.000,1.000,1.000,0.813,1650,11500
L-RMC,50,0.8,0.25,1.000,0.280,0.438,1.000,182,11248
k-core,50,0.8,0.25,0.020,1.000,0.039,0.250,1382500,8
Densest,50,0.8,0.25,1.000,0.840,0.913,0.819,1218,19600
L-RMC,50,0.8,0.30,1.000,0.300,0.462,1.000,210,14192
k-core,50,0.8,0.30,0.020,1.000,0.039,0.300,1695000,2
Densest,50,0.8,0.30,1.000,0.840,0.913,0.821,1176,23057
L-RMC,50,0.8,0.40,0.000,0.000,0.000,1.000,42,19838
k-core,50,0.8,0.40,0.020,1.000,0.039,0.400,2312500,3
Densest,50,0.8,0.40,0.098,0.180,0.127,0.577,4416,30764
L-RMC,50,0.9,0.15,1.000,0.380,0.551,1.000,342,6669
k-core,50,0.9,0.15,0.020,1.000,0.039,0.151,812500,2
Densest,50,0.9,0.15,1.000,1.000,1.000,0.889,1950,11508
L-RMC,50,0.9,0.25,1.000,0.340,0.507,1.000,272,12037
k-core,50,0.9,0.25,0.020,1.000,0.039,0.250,1360000,15
Densest,50,0.9,0.25,1.000,0.920,0.958,0.892,1564,19348
L-RMC,50,0.9,0.30,1.000,0.360,0.529,1.000,306,15878
k-core,50,0.9,0.30,0.020,1.000,0.039,0.300,1695000,2
Densest,50,0.9,0.30,1.000,0.960,0.980,0.907,1920,23312
L-RMC,50,0.9,0.40,1.000,0.300,0.462,1.000,210,19431
k-core,50,0.9,0.40,0.020,1.000,0.039,0.400,2225000,2
