Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,1.000,0.300,0.462,1.000,30,115
k-core,20,0.6,0.01,0.012,1.000,0.023,0.011,24234,22
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,639
L-RMC,20,0.6,0.03,1.000,0.250,0.400,1.000,20,364
k-core,20,0.6,0.03,0.010,1.000,0.020,0.030,70000,3
Densest,20,0.6,0.03,1.000,0.600,0.750,0.697,72,1687
L-RMC,20,0.6,0.05,1.000,0.300,0.462,1.000,30,977
k-core,20,0.6,0.05,0.010,1.000,0.020,0.050,142000,3
Densest,20,0.6,0.05,1.000,0.750,0.857,0.676,105,1715
L-RMC,20,0.6,0.07,1.000,0.250,0.400,1.000,20,1326
k-core,20,0.6,0.07,0.010,1.000,0.020,0.070,206000,1
Densest,20,0.6,0.07,1.000,0.650,0.788,0.718,91,2348
L-RMC,20,0.6,0.10,0.000,0.000,0.000,1.000,20,1909
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,1
Densest,20,0.6,0.10,0.115,0.150,0.130,0.360,182,3306
L-RMC,20,0.6,0.15,0.000,0.000,0.000,1.000,20,2847
k-core,20,0.6,0.15,0.010,1.000,0.020,0.150,510000,1
Densest,20,0.6,0.15,0.017,0.250,0.032,0.209,16060,8315
L-RMC,20,0.8,0.01,1.000,0.400,0.571,1.000,56,90
k-core,20,0.8,0.01,0.011,1.000,0.023,0.011,24374,4
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,496
L-RMC,20,0.8,0.03,1.000,0.450,0.621,1.000,72,256
k-core,20,0.8,0.03,0.010,1.000,0.020,0.030,74000,1
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,1277
L-RMC,20,0.8,0.05,1.000,0.400,0.571,1.000,56,443
k-core,20,0.8,0.05,0.010,1.000,0.020,0.050,142000,1
Densest,20,0.8,0.05,1.000,0.900,0.947,0.810,198,2008
L-RMC,20,0.8,0.07,1.000,0.450,0.621,1.000,72,642
k-core,20,0.8,0.07,0.010,1.000,0.020,0.070,194000,1
Densest,20,0.8,0.07,1.000,0.850,0.919,0.831,136,2783
L-RMC,20,0.8,0.10,1.000,0.350,0.519,1.000,42,975
k-core,20,0.8,0.10,0.010,1.000,0.020,0.100,314000,1
Densest,20,0.8,0.10,0.818,0.450,0.581,0.800,66,3944
L-RMC,20,0.8,0.15,0.000,0.000,0.000,1.000,20,1660
k-core,20,0.8,0.15,0.010,1.000,0.020,0.150,486000,3
Densest,20,0.8,0.15,0.030,0.500,0.057,0.204,20191,6487
L-RMC,20,0.9,0.01,1.000,0.500,0.667,1.000,90,144
k-core,20,0.9,0.01,0.011,1.000,0.022,0.011,24948,4
Densest,20,0.9,0.01,1.000,1.000,1.000,0.879,280,499
L-RMC,20,0.9,0.03,1.000,0.650,0.788,1.000,156,263
k-core,20,0.9,0.03,0.010,1.000,0.020,0.030,72000,2
Densest,20,0.9,0.03,1.000,1.000,1.000,0.921,320,1268
L-RMC,20,0.9,0.05,1.000,0.450,0.621,1.000,72,445
k-core,20,0.9,0.05,0.010,1.000,0.020,0.050,136000,1
Densest,20,0.9,0.05,1.000,0.750,0.857,0.895,165,2070
L-RMC,20,0.9,0.07,1.000,0.600,0.750,1.000,132,661
k-core,20,0.9,0.07,0.010,1.000,0.020,0.070,198000,1
Densest,20,0.9,0.07,1.000,1.000,1.000,0.921,320,2865
L-RMC,20,0.9,0.10,1.000,0.650,0.788,1.000,156,1045
k-core,20,0.9,0.10,0.010,1.000,0.020,0.100,316000,2
Densest,20,0.9,0.10,1.000,0.850,0.919,0.956,238,4497
L-RMC,20,0.9,0.15,0.000,0.000,0.000,1.000,20,1713
k-core,20,0.9,0.15,0.010,1.000,0.020,0.150,500000,1
Densest,20,0.9,0.15,0.019,0.750,0.038,0.174,96750,6017
L-RMC,50,0.6,0.01,1.000,0.160,0.276,1.000,56,88
k-core,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,4
Densest,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,495
L-RMC,50,0.6,0.03,1.000,0.140,0.246,1.000,42,255
k-core,50,0.6,0.03,0.025,1.000,0.049,0.030,74000,1
Densest,50,0.6,0.03,1.000,1.000,1.000,0.594,1200,1262
L-RMC,50,0.6,0.05,1.000,0.120,0.214,1.000,30,439
k-core,50,0.6,0.05,0.025,1.000,0.049,0.050,144000,1
Densest,50,0.6,0.05,1.000,1.000,1.000,0.616,1150,2005
L-RMC,50,0.6,0.07,1.000,0.140,0.246,1.000,42,648
k-core,50,0.6,0.07,0.025,1.000,0.049,0.070,198000,1
Densest,50,0.6,0.07,1.000,1.000,1.000,0.595,1100,2777
L-RMC,50,0.6,0.10,1.000,0.140,0.246,1.000,42,1003
k-core,50,0.6,0.10,0.025,1.000,0.049,0.100,302000,2
Densest,50,0.6,0.10,1.000,0.980,0.990,0.599,1078,3981
L-RMC,50,0.6,0.15,1.000,0.180,0.305,1.000,72,1920
k-core,50,0.6,0.15,0.025,1.000,0.049,0.150,468000,1
Densest,50,0.6,0.15,1.000,0.940,0.969,0.586,987,6083
L-RMC,50,0.8,0.01,1.000,0.280,0.438,1.000,182,89
k-core,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,4
Densest,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,504
L-RMC,50,0.8,0.03,1.000,0.300,0.462,1.000,210,256
k-core,50,0.8,0.03,0.025,1.000,0.049,0.030,68000,1
Densest,50,0.8,0.03,1.000,1.000,1.000,0.789,1550,1268
L-RMC,50,0.8,0.05,1.000,0.280,0.438,1.000,182,436
k-core,50,0.8,0.05,0.025,1.000,0.049,0.050,142000,2
Densest,50,0.8,0.05,1.000,1.000,1.000,0.813,1750,2027
L-RMC,50,0.8,0.07,1.000,0.300,0.462,1.000,210,640
k-core,50,0.8,0.07,0.025,1.000,0.049,0.071,212000,1
Densest,50,0.8,0.07,1.000,1.000,1.000,0.804,1550,2788
L-RMC,50,0.8,0.10,1.000,0.300,0.462,1.000,210,1017
k-core,50,0.8,0.10,0.025,1.000,0.049,0.101,318000,1
Densest,50,0.8,0.10,1.000,1.000,1.000,0.816,1650,3924
L-RMC,50,0.8,0.15,1.000,0.280,0.438,1.000,182,2904
k-core,50,0.8,0.15,0.025,1.000,0.049,0.150,486000,1
Densest,50,0.8,0.15,1.000,1.000,1.000,0.802,1650,6876
L-RMC,50,0.9,0.01,1.000,0.420,0.592,1.000,420,91
k-core,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,4
Densest,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,509
L-RMC,50,0.9,0.03,1.000,0.440,0.611,1.000,462,266
k-core,50,0.9,0.03,0.025,1.000,0.049,0.031,74000,1
Densest,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,1293
L-RMC,50,0.9,0.05,1.000,0.420,0.592,1.000,420,451
k-core,50,0.9,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,2032
L-RMC,50,0.9,0.07,1.000,0.420,0.592,1.000,420,681
k-core,50,0.9,0.07,0.025,1.000,0.049,0.071,204000,1
Densest,50,0.9,0.07,1.000,1.000,1.000,0.902,1900,2769
L-RMC,50,0.9,0.10,1.000,0.380,0.551,1.000,342,977
k-core,50,0.9,0.10,0.025,1.000,0.049,0.100,308000,1
Densest,50,0.9,0.10,1.000,1.000,1.000,0.900,1950,3932
L-RMC,50,0.9,0.15,1.000,0.360,0.529,1.000,306,1654
k-core,50,0.9,0.15,0.025,1.000,0.049,0.150,498000,1
Densest,50,0.9,0.15,1.000,0.980,0.990,0.892,1911,5941
L-RMC,100,0.6,0.01,1.000,0.080,0.148,1.000,56,92
k-core,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,4
Densest,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,528
L-RMC,100,0.6,0.03,1.000,0.090,0.165,1.000,72,260
k-core,100,0.6,0.03,0.050,1.000,0.095,0.031,70000,1
Densest,100,0.6,0.03,1.000,1.000,1.000,0.599,4700,1277
L-RMC,100,0.6,0.05,1.000,0.100,0.182,1.000,90,444
k-core,100,0.6,0.05,0.050,1.000,0.095,0.051,136000,1
Densest,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,2219
L-RMC,100,0.6,0.07,1.000,0.090,0.165,1.000,72,846
k-core,100,0.6,0.07,0.050,1.000,0.095,0.071,202000,2
Densest,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,2986
L-RMC,100,0.6,0.10,1.000,0.090,0.165,1.000,72,1018
k-core,100,0.6,0.10,0.050,1.000,0.095,0.101,302000,1
Densest,100,0.6,0.10,1.000,1.000,1.000,0.602,4600,4043
L-RMC,100,0.6,0.15,1.000,0.100,0.182,1.000,90,1682
k-core,100,0.6,0.15,0.050,1.000,0.095,0.151,484000,1
Densest,100,0.6,0.15,1.000,1.000,1.000,0.613,4800,5914
L-RMC,100,0.8,0.01,1.000,0.170,0.291,1.000,272,94
k-core,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,4
Densest,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,562
L-RMC,100,0.8,0.03,1.000,0.190,0.319,1.000,342,269
k-core,100,0.8,0.03,0.050,1.000,0.095,0.032,74000,1
Densest,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,1319
L-RMC,100,0.8,0.05,1.000,0.180,0.305,1.000,306,505
k-core,100,0.8,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,2055
L-RMC,100,0.8,0.07,1.000,0.140,0.246,1.000,182,651
k-core,100,0.8,0.07,0.050,1.000,0.095,0.072,206000,1
Densest,100,0.8,0.07,1.000,1.000,1.000,0.793,7000,2784
L-RMC,100,0.8,0.10,1.000,0.150,0.261,1.000,210,983
k-core,100,0.8,0.10,0.050,1.000,0.095,0.102,316000,1
