Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,0.069,1.000,0.130,0.031,1728,119
k-core,20,0.6,0.01,0.012,1.000,0.023,0.011,24234,18
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,636
L-RMC,20,0.6,0.03,0.060,0.750,0.111,0.066,3263,254
k-core,20,0.6,0.03,0.010,1.000,0.020,0.030,70000,2
Densest,20,0.6,0.03,1.000,0.600,0.750,0.697,72,2524
L-RMC,20,0.6,0.05,0.111,0.800,0.195,0.120,1872,1875
k-core,20,0.6,0.05,0.010,1.000,0.020,0.050,142000,2
Densest,20,0.6,0.05,1.000,0.750,0.857,0.676,105,2513
L-RMC,20,0.6,0.07,0.110,0.650,0.188,0.159,1770,1318
k-core,20,0.6,0.07,0.010,1.000,0.020,0.070,206000,2
Densest,20,0.6,0.07,1.000,0.650,0.788,0.718,91,2701
L-RMC,20,0.6,0.10,0.067,0.250,0.105,0.232,1050,2427
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,4
Densest,20,0.6,0.10,0.115,0.150,0.130,0.360,182,4385
L-RMC,20,0.6,0.15,0.000,0.000,0.000,0.294,1640,2476
k-core,20,0.6,0.15,0.010,1.000,0.020,0.150,510000,1
Densest,20,0.6,0.15,0.017,0.250,0.032,0.209,16060,8376
L-RMC,20,0.8,0.01,0.041,1.000,0.078,0.023,3920,92
k-core,20,0.8,0.01,0.011,1.000,0.023,0.011,24374,4
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,499
L-RMC,20,0.8,0.03,0.067,1.000,0.126,0.062,4158,257
k-core,20,0.8,0.03,0.010,1.000,0.020,0.030,74000,1
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,1260
L-RMC,20,0.8,0.05,0.132,0.900,0.231,0.125,1768,439
k-core,20,0.8,0.05,0.010,1.000,0.020,0.050,142000,1
Densest,20,0.8,0.05,1.000,0.900,0.947,0.810,198,1971
L-RMC,20,0.8,0.07,0.170,0.850,0.283,0.172,1300,702
k-core,20,0.8,0.07,0.010,1.000,0.020,0.070,194000,1
Densest,20,0.8,0.07,1.000,0.850,0.919,0.831,136,2731
L-RMC,20,0.8,0.10,0.095,0.450,0.157,0.217,1615,997
k-core,20,0.8,0.10,0.010,1.000,0.020,0.100,314000,1
Densest,20,0.8,0.10,0.818,0.450,0.581,0.800,66,3877
L-RMC,20,0.8,0.15,0.000,0.000,0.000,0.311,1330,1674
k-core,20,0.8,0.15,0.010,1.000,0.020,0.150,486000,3
Densest,20,0.8,0.15,0.030,0.500,0.057,0.204,20191,6125
L-RMC,20,0.9,0.01,0.048,1.000,0.092,0.025,2891,92
k-core,20,0.9,0.01,0.011,1.000,0.022,0.011,24948,4
Densest,20,0.9,0.01,1.000,1.000,1.000,0.879,280,533
L-RMC,20,0.9,0.03,0.104,1.000,0.188,0.079,2123,263
k-core,20,0.9,0.03,0.010,1.000,0.020,0.030,72000,1
Densest,20,0.9,0.03,1.000,1.000,1.000,0.921,320,1238
L-RMC,20,0.9,0.05,0.127,0.750,0.217,0.133,1416,459
k-core,20,0.9,0.05,0.010,1.000,0.020,0.050,136000,1
Densest,20,0.9,0.05,1.000,0.750,0.857,0.895,165,2010
L-RMC,20,0.9,0.07,0.211,1.000,0.348,0.193,1235,643
k-core,20,0.9,0.07,0.010,1.000,0.020,0.070,198000,1
Densest,20,0.9,0.07,1.000,1.000,1.000,0.921,320,2739
L-RMC,20,0.9,0.10,0.106,0.850,0.188,0.182,4025,992
k-core,20,0.9,0.10,0.010,1.000,0.020,0.100,316000,1
Densest,20,0.9,0.10,1.000,0.850,0.919,0.956,238,4205
L-RMC,20,0.9,0.15,0.010,0.050,0.017,0.276,2400,2316
k-core,20,0.9,0.15,0.010,1.000,0.020,0.150,500000,1
Densest,20,0.9,0.15,0.019,0.750,0.038,0.174,96750,6572
L-RMC,50,0.6,0.01,1.000,0.660,0.795,0.680,594,91
k-core,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,4
Densest,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,501
L-RMC,50,0.6,0.03,1.000,0.760,0.864,0.657,760,283
k-core,50,0.6,0.03,0.025,1.000,0.049,0.030,74000,1
Densest,50,0.6,0.03,1.000,1.000,1.000,0.594,1200,1259
L-RMC,50,0.6,0.05,1.000,0.720,0.837,0.684,756,443
k-core,50,0.6,0.05,0.025,1.000,0.049,0.050,144000,1
Densest,50,0.6,0.05,1.000,1.000,1.000,0.616,1150,1945
L-RMC,50,0.6,0.07,1.000,0.820,0.901,0.635,861,642
k-core,50,0.6,0.07,0.025,1.000,0.049,0.070,198000,1
Densest,50,0.6,0.07,1.000,1.000,1.000,0.595,1100,2734
L-RMC,50,0.6,0.10,1.000,0.760,0.864,0.656,836,1010
k-core,50,0.6,0.10,0.025,1.000,0.049,0.100,302000,1
Densest,50,0.6,0.10,1.000,0.980,0.990,0.599,1078,4705
L-RMC,50,0.6,0.15,1.000,0.680,0.810,0.667,612,1666
k-core,50,0.6,0.15,0.025,1.000,0.049,0.150,468000,1
Densest,50,0.6,0.15,1.000,0.940,0.969,0.586,987,6169
L-RMC,50,0.8,0.01,1.000,0.800,0.889,0.850,1240,90
k-core,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,4
Densest,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,519
L-RMC,50,0.8,0.03,1.000,0.740,0.851,0.847,1036,258
k-core,50,0.8,0.03,0.025,1.000,0.049,0.030,68000,1
Densest,50,0.8,0.03,1.000,1.000,1.000,0.789,1550,1251
L-RMC,50,0.8,0.05,1.000,0.840,0.913,0.839,1344,442
k-core,50,0.8,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.8,0.05,1.000,1.000,1.000,0.813,1750,1972
L-RMC,50,0.8,0.07,1.000,0.740,0.851,0.863,1036,644
k-core,50,0.8,0.07,0.025,1.000,0.049,0.071,212000,1
Densest,50,0.8,0.07,1.000,1.000,1.000,0.804,1550,2923
L-RMC,50,0.8,0.10,1.000,0.740,0.851,0.875,1073,1118
k-core,50,0.8,0.10,0.025,1.000,0.049,0.101,318000,1
Densest,50,0.8,0.10,1.000,1.000,1.000,0.816,1650,4697
L-RMC,50,0.8,0.15,1.000,0.740,0.851,0.865,1036,4116
k-core,50,0.8,0.15,0.025,1.000,0.049,0.150,486000,6
Densest,50,0.8,0.15,1.000,1.000,1.000,0.802,1650,6933
L-RMC,50,0.9,0.01,1.000,0.800,0.889,0.941,1400,91
k-core,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,4
Densest,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,507
L-RMC,50,0.9,0.03,1.000,0.780,0.876,0.939,1287,261
k-core,50,0.9,0.03,0.025,1.000,0.049,0.031,74000,1
Densest,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,1262
L-RMC,50,0.9,0.05,1.000,0.880,0.936,0.931,1628,475
k-core,50,0.9,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,2176
L-RMC,50,0.9,0.07,1.000,0.740,0.851,0.947,1184,1251
k-core,50,0.9,0.07,0.025,1.000,0.049,0.071,204000,2
Densest,50,0.9,0.07,1.000,1.000,1.000,0.902,1900,3497
L-RMC,50,0.9,0.10,1.000,0.720,0.837,0.948,1116,1068
k-core,50,0.9,0.10,0.025,1.000,0.049,0.100,308000,1
Densest,50,0.9,0.10,1.000,1.000,1.000,0.900,1950,4264
L-RMC,50,0.9,0.15,1.000,0.840,0.913,0.915,1470,1777
k-core,50,0.9,0.15,0.025,1.000,0.049,0.150,498000,1
Densest,50,0.9,0.15,1.000,0.980,0.990,0.892,1911,6258
L-RMC,100,0.6,0.01,1.000,0.410,0.582,0.735,1107,92
k-core,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,4
Densest,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,526
L-RMC,100,0.6,0.03,1.000,0.370,0.540,0.746,888,264
k-core,100,0.6,0.03,0.050,1.000,0.095,0.031,70000,1
Densest,100,0.6,0.03,1.000,1.000,1.000,0.599,4700,1313
L-RMC,100,0.6,0.05,1.000,0.370,0.540,0.739,888,446
k-core,100,0.6,0.05,0.050,1.000,0.095,0.051,136000,1
Densest,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,2465
L-RMC,100,0.6,0.07,1.000,0.430,0.601,0.723,1204,1063
k-core,100,0.6,0.07,0.050,1.000,0.095,0.071,202000,1
Densest,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,2848
L-RMC,100,0.6,0.10,1.000,0.370,0.540,0.778,925,1060
k-core,100,0.6,0.10,0.050,1.000,0.095,0.101,302000,1
Densest,100,0.6,0.10,1.000,1.000,1.000,0.602,4600,3853
L-RMC,100,0.6,0.15,1.000,0.350,0.519,0.795,840,1677
k-core,100,0.6,0.15,0.050,1.000,0.095,0.151,484000,1
Densest,100,0.6,0.15,1.000,1.000,1.000,0.613,4800,5827
L-RMC,100,0.8,0.01,1.000,0.430,0.601,0.905,1548,95
k-core,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,4
Densest,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,551
L-RMC,100,0.8,0.03,1.000,0.410,0.582,0.911,1435,264
k-core,100,0.8,0.03,0.050,1.000,0.095,0.032,74000,1
Densest,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,1269
L-RMC,100,0.8,0.05,1.000,0.470,0.639,0.896,1833,449
k-core,100,0.8,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,1982
L-RMC,100,0.8,0.07,1.000,0.420,0.592,0.892,1428,652
