Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,1.000,0.300,0.462,1.000,30,110
k-core,20,0.6,0.01,0.012,1.000,0.023,0.011,24234,19
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,778
L-RMC,20,0.6,0.03,1.000,0.250,0.400,1.000,20,518
k-core,20,0.6,0.03,0.010,1.000,0.020,0.030,70000,3
Densest,20,0.6,0.03,1.000,0.600,0.750,0.697,72,1658
L-RMC,20,0.6,0.05,1.000,0.300,0.462,1.000,30,830
k-core,20,0.6,0.05,0.010,1.000,0.020,0.050,142000,3
Densest,20,0.6,0.05,1.000,0.750,0.857,0.676,105,1743
L-RMC,20,0.6,0.07,1.000,0.250,0.400,1.000,20,1291
k-core,20,0.6,0.07,0.010,1.000,0.020,0.070,206000,2
Densest,20,0.6,0.07,1.000,0.650,0.788,0.718,91,2433
L-RMC,20,0.6,0.10,0.000,0.000,0.000,1.000,20,2005
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,1
Densest,20,0.6,0.10,0.115,0.150,0.130,0.360,182,3557
L-RMC,20,0.6,0.15,0.000,0.000,0.000,1.000,20,1768
k-core,20,0.6,0.15,0.010,1.000,0.020,0.150,510000,1
Densest,20,0.6,0.15,0.017,0.250,0.032,0.209,16060,8887
L-RMC,20,0.8,0.01,1.000,0.400,0.571,1.000,56,89
k-core,20,0.8,0.01,0.011,1.000,0.023,0.011,24374,4
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,517
L-RMC,20,0.8,0.03,1.000,0.450,0.621,1.000,72,262
k-core,20,0.8,0.03,0.010,1.000,0.020,0.030,74000,1
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,1297
L-RMC,20,0.8,0.05,1.000,0.400,0.571,1.000,56,444
k-core,20,0.8,0.05,0.010,1.000,0.020,0.050,142000,1
Densest,20,0.8,0.05,1.000,0.900,0.947,0.810,198,2020
L-RMC,20,0.8,0.07,1.000,0.450,0.621,1.000,72,637
k-core,20,0.8,0.07,0.010,1.000,0.020,0.070,194000,1
Densest,20,0.8,0.07,1.000,0.850,0.919,0.831,136,2739
L-RMC,20,0.8,0.10,1.000,0.350,0.519,1.000,42,999
k-core,20,0.8,0.10,0.010,1.000,0.020,0.100,314000,1
Densest,20,0.8,0.10,0.818,0.450,0.581,0.800,66,4174
L-RMC,20,0.8,0.15,0.000,0.000,0.000,1.000,20,1889
k-core,20,0.8,0.15,0.010,1.000,0.020,0.150,486000,3
Densest,20,0.8,0.15,0.030,0.500,0.057,0.204,20191,6129
