Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,0.037,1.000,0.071,0.021,4320,118
k-core,20,0.6,0.01,0.012,1.000,0.023,0.011,24234,18
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,661
L-RMC,20,0.6,0.03,0.060,0.750,0.111,0.066,3263,259
k-core,20,0.6,0.03,0.010,1.000,0.020,0.030,70000,3
Densest,20,0.6,0.03,1.000,0.600,0.750,0.697,72,1841
L-RMC,20,0.6,0.05,0.076,0.800,0.139,0.102,3570,1642
k-core,20,0.6,0.05,0.010,1.000,0.020,0.050,142000,2
Densest,20,0.6,0.05,1.000,0.750,0.857,0.676,105,1952
L-RMC,20,0.6,0.07,0.110,0.650,0.188,0.159,1770,1877
k-core,20,0.6,0.07,0.010,1.000,0.020,0.070,206000,2
Densest,20,0.6,0.07,1.000,0.650,0.788,0.718,91,2727
L-RMC,20,0.6,0.10,0.060,0.350,0.102,0.199,2223,1924
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,4
Densest,20,0.6,0.10,0.115,0.150,0.130,0.360,182,3759
L-RMC,20,0.6,0.15,0.000,0.000,0.000,0.289,1827,3147
k-core,20,0.6,0.15,0.010,1.000,0.020,0.150,510000,1
Densest,20,0.6,0.15,0.017,0.250,0.032,0.209,16060,9006
L-RMC,20,0.8,0.01,0.040,1.000,0.078,0.023,3960,99
k-core,20,0.8,0.01,0.011,1.000,0.023,0.011,24374,4
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,501
L-RMC,20,0.8,0.03,0.067,1.000,0.126,0.062,4158,262
k-core,20,0.8,0.03,0.010,1.000,0.020,0.030,74000,1
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,1267
L-RMC,20,0.8,0.05,0.127,0.900,0.222,0.123,1846,439
k-core,20,0.8,0.05,0.010,1.000,0.020,0.050,142000,1
Densest,20,0.8,0.05,1.000,0.900,0.947,0.810,198,2014
L-RMC,20,0.8,0.07,0.098,0.850,0.176,0.136,3460,645
k-core,20,0.8,0.07,0.010,1.000,0.020,0.070,194000,1
Densest,20,0.8,0.07,1.000,0.850,0.919,0.831,136,2922
L-RMC,20,0.8,0.10,0.100,0.650,0.173,0.195,2860,1146
k-core,20,0.8,0.10,0.010,1.000,0.020,0.100,314000,2
Densest,20,0.8,0.10,0.818,0.450,0.581,0.800,66,3956
L-RMC,20,0.8,0.15,0.011,0.050,0.018,0.285,2024,1788
k-core,20,0.8,0.15,0.010,1.000,0.020,0.150,486000,2
Densest,20,0.8,0.15,0.030,0.500,0.057,0.204,20191,6696
L-RMC,20,0.9,0.01,0.043,1.000,0.083,0.024,3696,98
k-core,20,0.9,0.01,0.011,1.000,0.022,0.011,24948,4
Densest,20,0.9,0.01,1.000,1.000,1.000,0.879,280,490
L-RMC,20,0.9,0.03,0.052,1.000,0.099,0.055,6176,259
k-core,20,0.9,0.03,0.010,1.000,0.020,0.030,72000,1
Densest,20,0.9,0.03,1.000,1.000,1.000,0.921,320,1242
L-RMC,20,0.9,0.05,0.089,0.750,0.159,0.113,2535,446
k-core,20,0.9,0.05,0.010,1.000,0.020,0.050,136000,1
Densest,20,0.9,0.05,1.000,0.750,0.857,0.895,165,2010
L-RMC,20,0.9,0.07,0.129,1.000,0.229,0.150,2790,642
k-core,20,0.9,0.07,0.010,1.000,0.020,0.070,198000,1
Densest,20,0.9,0.07,1.000,1.000,1.000,0.921,320,2836
L-RMC,20,0.9,0.10,0.106,0.850,0.188,0.182,4025,988
k-core,20,0.9,0.10,0.010,1.000,0.020,0.100,316000,1
Densest,20,0.9,0.10,1.000,0.850,0.919,0.956,238,3927
L-RMC,20,0.9,0.15,0.010,0.050,0.017,0.276,2400,1717
k-core,20,0.9,0.15,0.010,1.000,0.020,0.150,500000,1
Densest,20,0.9,0.15,0.019,0.750,0.038,0.174,96750,6041
L-RMC,50,0.6,0.01,0.076,1.000,0.141,0.021,5931,95
k-core,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,4
Densest,50,0.6,0.01,1.000,1.000,1.000,0.580,1150,489
L-RMC,50,0.6,0.03,1.000,0.820,0.901,0.643,902,260
k-core,50,0.6,0.03,0.025,1.000,0.049,0.030,74000,1
Densest,50,0.6,0.03,1.000,1.000,1.000,0.594,1200,1255
L-RMC,50,0.6,0.05,1.000,0.900,0.947,0.641,1080,443
k-core,50,0.6,0.05,0.025,1.000,0.049,0.050,144000,1
Densest,50,0.6,0.05,1.000,1.000,1.000,0.616,1150,2004
L-RMC,50,0.6,0.07,1.000,0.880,0.936,0.623,1012,659
k-core,50,0.6,0.07,0.025,1.000,0.049,0.070,198000,1
Densest,50,0.6,0.07,1.000,1.000,1.000,0.595,1100,2766
L-RMC,50,0.6,0.10,1.000,0.900,0.947,0.620,990,981
k-core,50,0.6,0.10,0.025,1.000,0.049,0.100,302000,1
Densest,50,0.6,0.10,1.000,0.980,0.990,0.599,1078,3873
L-RMC,50,0.6,0.15,1.000,0.820,0.901,0.621,820,1611
k-core,50,0.6,0.15,0.025,1.000,0.049,0.150,468000,1
Densest,50,0.6,0.15,1.000,0.940,0.969,0.586,987,5963
L-RMC,50,0.8,0.01,1.000,0.860,0.925,0.839,1376,92
k-core,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,4
Densest,50,0.8,0.01,1.000,1.000,1.000,0.810,1750,503
L-RMC,50,0.8,0.03,1.000,0.860,0.925,0.823,1376,258
k-core,50,0.8,0.03,0.025,1.000,0.049,0.030,68000,1
Densest,50,0.8,0.03,1.000,1.000,1.000,0.789,1550,1258
L-RMC,50,0.8,0.05,1.000,0.940,0.969,0.824,1645,548
k-core,50,0.8,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.8,0.05,1.000,1.000,1.000,0.813,1750,2078
L-RMC,50,0.8,0.07,1.000,0.780,0.876,0.854,1131,648
k-core,50,0.8,0.07,0.025,1.000,0.049,0.071,212000,1
Densest,50,0.8,0.07,1.000,1.000,1.000,0.804,1550,2767
L-RMC,50,0.8,0.10,1.000,0.780,0.876,0.868,1170,989
k-core,50,0.8,0.10,0.025,1.000,0.049,0.101,318000,1
Densest,50,0.8,0.10,1.000,1.000,1.000,0.816,1650,3957
L-RMC,50,0.8,0.15,1.000,0.760,0.864,0.859,1064,3034
k-core,50,0.8,0.15,0.025,1.000,0.049,0.150,486000,1
Densest,50,0.8,0.15,1.000,1.000,1.000,0.802,1650,5959
L-RMC,50,0.9,0.01,1.000,0.900,0.947,0.927,1710,94
k-core,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,4
Densest,50,0.9,0.01,1.000,1.000,1.000,0.912,2050,512
L-RMC,50,0.9,0.03,1.000,0.900,0.947,0.919,1710,259
k-core,50,0.9,0.03,0.025,1.000,0.049,0.031,74000,1
Densest,50,0.9,0.03,1.000,1.000,1.000,0.901,1950,1281
L-RMC,50,0.9,0.05,1.000,0.920,0.958,0.926,1794,445
k-core,50,0.9,0.05,0.025,1.000,0.049,0.050,142000,1
Densest,50,0.9,0.05,1.000,1.000,1.000,0.908,1950,1993
L-RMC,50,0.9,0.07,1.000,0.840,0.913,0.931,1512,645
k-core,50,0.9,0.07,0.025,1.000,0.049,0.071,204000,1
Densest,50,0.9,0.07,1.000,1.000,1.000,0.902,1900,2753
L-RMC,50,0.9,0.10,1.000,0.900,0.947,0.917,1710,991
k-core,50,0.9,0.10,0.025,1.000,0.049,0.100,308000,1
Densest,50,0.9,0.10,1.000,1.000,1.000,0.900,1950,3926
L-RMC,50,0.9,0.15,1.000,0.940,0.969,0.899,1786,1684
k-core,50,0.9,0.15,0.025,1.000,0.049,0.150,498000,1
Densest,50,0.9,0.15,1.000,0.980,0.990,0.892,1911,6005
L-RMC,100,0.6,0.01,1.000,0.540,0.701,0.692,1782,93
k-core,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,4
Densest,100,0.6,0.01,1.000,1.000,1.000,0.594,4700,525
L-RMC,100,0.6,0.03,1.000,0.500,0.667,0.704,1550,263
k-core,100,0.6,0.03,0.050,1.000,0.095,0.031,70000,1
Densest,100,0.6,0.03,1.000,1.000,1.000,0.599,4700,1283
L-RMC,100,0.6,0.05,1.000,0.520,0.684,0.692,1664,447
k-core,100,0.6,0.05,0.050,1.000,0.095,0.051,136000,1
Densest,100,0.6,0.05,1.000,1.000,1.000,0.604,5100,2011
L-RMC,100,0.6,0.07,1.000,0.440,0.611,0.720,1232,651
k-core,100,0.6,0.07,0.050,1.000,0.095,0.071,202000,1
Densest,100,0.6,0.07,1.000,1.000,1.000,0.601,4900,2748
L-RMC,100,0.6,0.10,1.000,0.450,0.621,0.745,1350,999
k-core,100,0.6,0.10,0.050,1.000,0.095,0.101,302000,1
Densest,100,0.6,0.10,1.000,1.000,1.000,0.602,4600,3918
L-RMC,100,0.6,0.15,1.000,0.510,0.675,0.729,1632,1705
k-core,100,0.6,0.15,0.050,1.000,0.095,0.151,484000,1
Densest,100,0.6,0.15,1.000,1.000,1.000,0.613,4800,6094
L-RMC,100,0.8,0.01,1.000,0.610,0.758,0.867,2989,98
k-core,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,4
Densest,100,0.8,0.01,1.000,1.000,1.000,0.805,6800,556
L-RMC,100,0.8,0.03,1.000,0.570,0.726,0.875,2622,264
k-core,100,0.8,0.03,0.050,1.000,0.095,0.032,74000,1
Densest,100,0.8,0.03,1.000,1.000,1.000,0.807,7100,1294
L-RMC,100,0.8,0.05,1.000,0.470,0.639,0.896,1833,456
k-core,100,0.8,0.05,0.050,1.000,0.095,0.052,142000,3
Densest,100,0.8,0.05,1.000,1.000,1.000,0.806,7100,2046
L-RMC,100,0.8,0.07,1.000,0.620,0.765,0.850,3038,652
k-core,100,0.8,0.07,0.050,1.000,0.095,0.072,206000,3
Densest,100,0.8,0.07,1.000,1.000,1.000,0.793,7000,2767
L-RMC,100,0.8,0.10,1.000,0.600,0.750,0.854,2880,1000
k-core,100,0.8,0.10,0.050,1.000,0.095,0.102,316000,1
Densest,100,0.8,0.10,1.000,1.000,1.000,0.791,6800,3983
L-RMC,100,0.8,0.15,1.000,0.500,0.667,0.880,2050,1688
k-core,100,0.8,0.15,0.050,1.000,0.095,0.151,480000,1
Densest,100,0.8,0.15,1.000,1.000,1.000,0.801,6900,5946
L-RMC,100,0.9,0.01,1.000,0.670,0.802,0.936,4020,97
k-core,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,4
Densest,100,0.9,0.01,1.000,1.000,1.000,0.898,7900,563
L-RMC,100,0.9,0.03,1.000,0.720,0.837,0.933,4608,265
k-core,100,0.9,0.03,0.050,1.000,0.095,0.032,70000,1
Densest,100,0.9,0.03,1.000,1.000,1.000,0.901,8000,1307
L-RMC,100,0.9,0.05,1.000,0.620,0.765,0.943,3472,452
k-core,100,0.9,0.05,0.050,1.000,0.095,0.052,142000,1
Densest,100,0.9,0.05,1.000,1.000,1.000,0.899,8300,2035
L-RMC,100,0.9,0.07,1.000,0.600,0.750,0.946,3240,664
k-core,100,0.9,0.07,0.050,1.000,0.095,0.072,204000,1
Densest,100,0.9,0.07,1.000,1.000,1.000,0.900,8300,2793
L-RMC,100,0.9,0.10,1.000,0.580,0.734,0.959,3074,1013
k-core,100,0.9,0.10,0.050,1.000,0.095,0.102,322000,1
Densest,100,0.9,0.10,1.000,1.000,1.000,0.904,8200,3950
L-RMC,100,0.9,0.15,1.000,0.610,0.758,0.945,3294,1692
k-core,100,0.9,0.15,0.050,1.000,0.095,0.152,494000,1
Densest,100,0.9,0.15,1.000,1.000,1.000,0.898,7800,5952
