Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,MinDeg,AvgDeg,MaxDeg,RMCScore,Runtime
L-RMC,100,0.6,0.25,1.000,0.113,0.202,0.968,9.6,9.9,10.2,111,2314
L-RMC,100,0.6,0.35,0.970,0.101,0.183,0.979,8.9,9.2,9.4,94,3983
L-RMC,100,0.6,0.45,0.066,0.008,0.014,0.968,9.9,10.2,10.5,119,7762
L-RMC,100,0.7,0.25,1.000,0.122,0.217,1.000,11.2,11.2,11.2,138,2167
L-RMC,100,0.7,0.35,1.000,0.126,0.224,1.000,11.6,11.6,11.6,147,4428
L-RMC,100,0.7,0.45,0.812,0.101,0.179,0.984,10.7,10.9,11.1,133,8101
L-RMC,100,0.8,0.25,1.000,0.167,0.286,1.000,15.7,15.7,15.7,262,2165
L-RMC,100,0.8,0.35,1.000,0.169,0.289,1.000,15.9,15.9,15.9,269,4430
L-RMC,100,0.8,0.45,1.000,0.164,0.282,1.000,15.4,15.4,15.4,253,7930
L-RMC,100,0.9,0.25,1.000,0.257,0.408,1.000,24.7,24.7,24.7,641,1954
L-RMC,100,0.9,0.35,1.000,0.259,0.411,1.000,24.9,24.9,24.9,649,4143
L-RMC,100,0.9,0.45,1.000,0.265,0.418,1.000,25.5,25.5,25.5,680,7445
L-RMC,150,0.6,0.25,1.000,0.074,0.138,0.986,9.7,9.9,10.1,109,1921
L-RMC,150,0.6,0.35,1.000,0.070,0.131,1.000,9.5,9.5,9.5,100,4131
L-RMC,150,0.6,0.45,0.254,0.017,0.032,0.993,9.1,9.2,9.3,94,7494
L-RMC,150,0.7,0.25,1.000,0.090,0.165,1.000,12.5,12.5,12.5,170,2231
L-RMC,150,0.7,0.35,1.000,0.091,0.166,1.000,12.6,12.6,12.6,173,4528
L-RMC,150,0.7,0.45,1.000,0.093,0.169,0.995,12.8,12.8,12.9,180,7213
L-RMC,150,0.8,0.25,1.000,0.126,0.224,1.000,17.9,17.9,17.9,340,1949
L-RMC,150,0.8,0.35,1.000,0.126,0.224,1.000,17.9,17.9,17.9,340,4161
L-RMC,150,0.8,0.45,1.000,0.127,0.225,1.000,18.0,18.0,18.0,344,7769
L-RMC,150,0.9,0.25,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,2107
L-RMC,150,0.9,0.35,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,4395
L-RMC,150,0.9,0.45,1.000,0.216,0.355,1.000,31.4,31.4,31.4,1020,7793
L-RMC,200,0.6,0.25,1.000,0.062,0.116,0.982,10.9,11.1,11.2,142,2131
L-RMC,200,0.6,0.35,1.000,0.058,0.108,0.990,10.2,10.3,10.4,121,4153
L-RMC,200,0.6,0.45,0.982,0.057,0.108,0.992,10.4,10.5,10.5,122,9239
L-RMC,200,0.7,0.25,1.000,0.072,0.134,1.000,13.4,13.4,13.4,194,2095
L-RMC,200,0.7,0.35,1.000,0.072,0.134,1.000,13.4,13.4,13.4,194,4762
L-RMC,200,0.7,0.45,1.000,0.072,0.133,1.000,13.3,13.3,13.3,192,8321
L-RMC,200,0.8,0.25,1.000,0.104,0.188,1.000,19.8,19.8,19.8,413,2136
L-RMC,200,0.8,0.35,1.000,0.104,0.188,1.000,19.8,19.8,19.8,413,4689
L-RMC,200,0.8,0.45,1.000,0.104,0.188,1.000,19.8,19.8,19.8,413,8745
L-RMC,200,0.9,0.25,1.000,0.177,0.301,1.000,34.4,34.4,34.4,1219,2450
L-RMC,200,0.9,0.35,1.000,0.177,0.301,1.000,34.4,34.4,34.4,1219,4819
L-RMC,200,0.9,0.45,1.000,0.177,0.301,1.000,34.4,34.4,34.4,1219,8084
