Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,0.018,1.000,0.035,0.004,3381,23
k-core,20,0.6,0.01,1.000,0.900,0.947,0.634,162,9
Densest,20,0.6,0.01,1.000,0.950,0.974,0.614,152,291
L-RMC,20,0.6,0.03,0.274,1.000,0.430,0.101,219,11
k-core,20,0.6,0.03,1.000,0.850,0.919,0.654,136,16
Densest,20,0.6,0.03,0.952,1.000,0.976,0.548,126,264
L-RMC,20,0.6,0.05,0.488,1.000,0.656,0.250,164,6
k-core,20,0.6,0.05,1.000,1.000,1.000,0.626,180,21
Densest,20,0.6,0.05,1.000,1.000,1.000,0.626,180,331
L-RMC,20,0.6,0.07,0.571,1.000,0.727,0.321,175,8
k-core,20,0.6,0.07,1.000,0.950,0.974,0.632,152,11
Densest,20,0.6,0.07,0.870,1.000,0.930,0.522,138,361
L-RMC,20,0.6,0.10,0.741,1.000,0.851,0.453,162,11
k-core,20,0.6,0.10,1.000,0.950,0.974,0.614,152,17
Densest,20,0.6,0.10,0.526,1.000,0.690,0.320,228,425
L-RMC,20,0.6,0.15,0.690,1.000,0.816,0.443,232,7
k-core,20,0.6,0.15,0.947,0.900,0.923,0.596,171,28
Densest,20,0.6,0.15,0.241,1.000,0.388,0.161,581,497
L-RMC,20,0.8,0.01,0.029,1.000,0.055,0.007,2103,2
k-core,20,0.8,0.01,1.000,1.000,1.000,0.758,220,1
Densest,20,0.8,0.01,1.000,1.000,1.000,0.758,220,237
L-RMC,20,0.8,0.03,0.323,1.000,0.488,0.150,186,2
k-core,20,0.8,0.03,1.000,1.000,1.000,0.800,240,4
Densest,20,0.8,0.03,1.000,1.000,1.000,0.800,240,272
L-RMC,20,0.8,0.05,0.645,1.000,0.784,0.443,155,2
k-core,20,0.8,0.05,1.000,1.000,1.000,0.800,240,7
Densest,20,0.8,0.05,1.000,1.000,1.000,0.800,240,322
L-RMC,20,0.8,0.07,0.741,1.000,0.851,0.550,162,3
k-core,20,0.8,0.07,1.000,0.950,0.974,0.848,247,11
Densest,20,0.8,0.07,1.000,1.000,1.000,0.811,180,358
L-RMC,20,0.8,0.10,0.800,1.000,0.889,0.640,175,4
k-core,20,0.8,0.10,1.000,1.000,1.000,0.821,260,17
Densest,20,0.8,0.10,0.952,1.000,0.976,0.781,168,421
L-RMC,20,0.8,0.15,0.769,1.000,0.870,0.606,208,7
k-core,20,0.8,0.15,1.000,0.950,0.974,0.801,228,27
Densest,20,0.8,0.15,0.667,1.000,0.800,0.526,240,510
L-RMC,20,0.9,0.01,0.028,1.000,0.054,0.007,1432,2
k-core,20,0.9,0.01,1.000,1.000,1.000,0.879,280,1
Densest,20,0.9,0.01,1.000,1.000,1.000,0.879,280,225
L-RMC,20,0.9,0.03,0.377,1.000,0.548,0.202,159,2
k-core,20,0.9,0.03,1.000,1.000,1.000,0.921,320,4
Densest,20,0.9,0.03,1.000,1.000,1.000,0.921,320,285
L-RMC,20,0.9,0.05,0.833,1.000,0.909,0.674,120,2
k-core,20,0.9,0.05,1.000,1.000,1.000,0.868,300,6
