Method,ClusterSize,InternalDensity,ExternalDensity,Precision,Recall,F1,Density,RMCScore,Runtime
L-RMC,20,0.6,0.01,0.000,0.000,0.000,0.186,3058,436
k-core,20,0.6,0.01,0.000,0.000,0.000,0.100,326592,172
Densest,20,0.6,0.01,0.000,0.000,0.000,0.100,306900,9209
L-RMC,20,0.6,0.03,0.000,0.000,0.000,0.202,2360,416
k-core,20,0.6,0.03,0.000,0.000,0.000,0.101,326060,110
Densest,20,0.6,0.03,0.000,0.000,0.000,0.100,300960,8488
L-RMC,20,0.6,0.05,0.000,0.000,0.000,0.184,3146,230
k-core,20,0.6,0.05,0.000,0.000,0.000,0.101,324987,120
Densest,20,0.6,0.05,0.008,0.800,0.016,0.099,199600,6801
L-RMC,20,0.6,0.07,0.000,0.000,0.000,0.198,2204,208
k-core,20,0.6,0.07,0.000,0.000,0.000,0.101,323568,130
Densest,20,0.6,0.07,0.010,1.000,0.020,0.100,234000,6762
L-RMC,20,0.6,0.10,0.060,0.350,0.102,0.199,2223,206
k-core,20,0.6,0.10,0.010,1.000,0.020,0.100,334390,126
Densest,20,0.6,0.10,0.010,1.000,0.020,0.100,308000,6783
L-RMC,20,0.6,0.15,0.192,0.950,0.319,0.228,1782,154
k-core,20,0.6,0.15,0.010,1.000,0.020,0.102,332476,263
Densest,20,0.6,0.15,0.010,1.000,0.020,0.101,314000,6901
L-RMC,20,0.8,0.01,0.000,0.000,0.000,0.187,3102,137
k-core,20,0.8,0.01,0.000,0.000,0.000,0.101,322392,102
Densest,20,0.8,0.01,0.000,0.000,0.000,0.100,291060,6759
L-RMC,20,0.8,0.03,0.000,0.000,0.000,0.190,2992,168
k-core,20,0.8,0.03,0.000,0.000,0.000,0.101,328367,121
Densest,20,0.8,0.03,0.000,0.000,0.000,0.100,312840,6873
L-RMC,20,0.8,0.05,0.000,0.000,0.000,0.205,1962,171
k-core,20,0.8,0.05,0.000,0.000,0.000,0.101,326088,115
Densest,20,0.8,0.05,0.009,0.850,0.017,0.099,203694,6830
L-RMC,20,0.8,0.07,0.000,0.000,0.000,0.185,3124,169
k-core,20,0.8,0.07,0.000,0.000,0.000,0.101,322621,125
Densest,20,0.8,0.07,0.010,1.000,0.020,0.099,278000,6957
L-RMC,20,0.8,0.10,0.100,0.650,0.173,0.195,2860,166
k-core,20,0.8,0.10,0.010,1.000,0.020,0.101,335750,126
Densest,20,0.8,0.10,0.010,1.000,0.020,0.100,314000,6825
L-RMC,20,0.8,0.15,0.260,1.000,0.412,0.273,1155,179
k-core,20,0.8,0.15,0.010,1.000,0.020,0.102,336186,248
Densest,20,0.8,0.15,0.010,1.000,0.020,0.101,326000,6886
L-RMC,20,0.9,0.01,0.000,0.000,0.000,0.212,1683,165
k-core,20,0.9,0.01,0.000,0.000,0.000,0.101,325416,113
Densest,20,0.9,0.01,0.000,0.000,0.000,0.100,287100,6754
