method,n,k,p_intra,p_inter,seed,NMI,ARI,F1
k-core,100000,10,0.2,1.5E-4,42,0.723577,0.624969,0.496508
densest,100000,10,0.2,1.5E-4,42,0.889084,0.856763,0.732887
quasi-clique,100000,10,0.2,1.5E-4,42,1.000000,1.000000,1.000000
L-RMC,100000,10,0.2,1.5E-4,42,0.000000,0.000000,0.000000
k-core,100000,10,0.2,1.5E-4,43,0.730223,0.636473,0.496300
densest,100000,10,0.2,1.5E-4,43,0.997077,0.998836,0.999180
quasi-clique,100000,10,0.2,1.5E-4,43,1.000000,1.000000,1.000000
L-RMC,100000,10,0.2,1.5E-4,43,0.000000,0.000000,0.000000
k-core,100000,10,0.2,1.5E-4,44,0.716268,0.607756,0.495299
densest,100000,10,0.2,1.5E-4,44,0.895267,0.924879,0.616188
quasi-clique,100000,10,0.2,1.5E-4,44,1.000000,1.000000,1.000000
L-RMC,100000,10,0.2,1.5E-4,44,0.000000,0.000000,0.000000
k-core,100000,10,0.2,1.5E-4,45,0.718877,0.616333,0.495444
densest,100000,10,0.2,1.5E-4,45,0.895417,0.900200,0.749330
quasi-clique,100000,10,0.2,1.5E-4,45,1.000000,1.000000,1.000000
L-RMC,100000,10,0.2,1.5E-4,45,0.000000,0.000000,0.000000
k-core,100000,10,0.2,1.5E-4,46,0.718755,0.623552,0.494406
densest,100000,10,0.2,1.5E-4,46,0.884630,0.858323,0.732581
quasi-clique,100000,10,0.2,1.5E-4,46,1.000000,1.000000,1.000000
L-RMC,100000,10,0.2,1.5E-4,46,0.000000,0.000000,0.000000
